,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,0.09572327684424364,0.08159660902256538,0.07765982521900816,0.07825709056671937,0.07915375216634324,0.07922292016484733,0.07627862309339162
Portfolio_02,0.1995332647130107,0.1260974278991005,0.10511685089114298,0.06699585969911814,0.051046048006511247,0.04977258492165115,0.05039274818860673
Portfolio_03,0.2270428481874318,0.12994401263058875,0.12783068074773207,0.09999104682420623,0.10068029653325172,0.0999044471523457,0.09737680293138129
Portfolio_04,0.18993620954708335,0.1145355425562723,0.07221179401127509,0.0655736707366763,0.0640498765558748,0.0577762510323111,0.05819926008776799
Portfolio_05,0.17080478880067385,0.083127859836294,0.07579152213161156,0.07536302871611422,0.07492989753292056,0.0764971077481632,0.07444154145315218
Portfolio_06,0.16813400301958947,0.13478039765155225,0.1330358851815403,0.13321188900360637,0.1316417113965015,0.12835289159619068,0.13029213547369223
Portfolio_07,0.212489341337585,0.14080253805422527,0.09646360892609274,0.07645634324586015,0.0728869263121591,0.06215791972861584,0.05326295131408676
Portfolio_08,0.1284103660151481,0.09142789735401957,0.08299594009990863,0.07993579229328895,0.07865281444874672,0.07931924101083976,0.08025390372518015
Portfolio_09,0.19126823972638896,0.14222761926840255,0.08788247395385929,0.07311489692838569,0.06852814827747511,0.06653742123533424,0.06639269295572081
Portfolio_10,0.15420063675141238,0.10156043595053521,0.06951393948540252,0.06435881033625956,0.05023420621866681,0.048438681061741984,0.04871151165435095
Portfolio_11,0.14567569324084162,0.0699532144357039,0.06478012450628068,0.053852568626272634,0.05138441862081011,0.03895941487816401,0.03857185242688632
Portfolio_12,0.19978334577222945,0.15058753264406488,0.09431773880706995,0.07914341798246594,0.06849879471466991,0.06560404931098662,0.05596363007365501
Portfolio_13,0.19261101984669493,0.12915897279155653,0.07892654225320517,0.06937356673368456,0.058723980129117614,0.05293039219826956,0.051644498714425
Portfolio_14,0.14953455131274707,0.1334345545946497,0.13417705376390687,0.1138303301387753,0.10615861565353024,0.10371194217269841,0.10518833252349802
Portfolio_15,0.24848033354106103,0.13293632007028167,0.12458467563981701,0.08344342443527719,0.07587759293804452,0.07080315011651461,0.06615194294969218
Portfolio_16,0.18178167181638916,0.12587143515200416,0.0790274257217447,0.06137766396681432,0.052812689682559144,0.04888416785588334,0.051126891315053324
Portfolio_17,0.17195301042638067,0.10603720954013884,0.09071806913217229,0.08701361290221366,0.07942577843357435,0.07088370497517815,0.06686829560526186
Portfolio_18,0.17184639774013666,0.15247957479614938,0.14298552455688152,0.14140854415322923,0.1396292372925979,0.13470690113716888,0.1347472303040418
Portfolio_19,0.1603276674936962,0.1005564980203183,0.07622389113719652,0.05846009890149906,0.050672644150402735,0.043220777015959944,0.04102541945334193
Portfolio_20,0.25867484184747036,0.20171000714084897,0.1901399680858934,0.1863641310404217,0.18615710771249705,0.18610481172269866,0.18239124033965193
