,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,0.07592320167080424,0.04384511253758783,0.04350645343658155,0.03620252459388118,0.03402712543232267,0.025923736725660063,0.021248894898241
Portfolio_02,0.18596761018826147,0.13329684317476342,0.09056769407041754,0.07222129476017525,0.05821663566242152,0.05883486951987793,0.05054763791551575
Portfolio_03,0.18799342803567953,0.16109583236043679,0.09001410117699105,0.07923139220248676,0.06225880708613829,0.05349308829726329,0.051054194523153185
Portfolio_04,0.1731260308455963,0.10908667645350267,0.08893286588275784,0.0763692943092823,0.062337116767962164,0.06200602129280286,0.055043493888207284
Portfolio_05,0.16471732116566384,0.0731653260116557,0.07208872595494575,0.0653990630360538,0.05989703164360549,0.06185019806707159,0.05997656307314114
Portfolio_06,0.14164971295165496,0.10908702913773549,0.10636647358684581,0.10358249823910914,0.09563734958271619,0.05967173778209367,0.0600501057090953
Portfolio_07,0.1950745010162026,0.1714794052534212,0.16885467314091784,0.17233853681108557,0.16362797107830152,0.16084802372356,0.16567657437677807
Portfolio_08,0.1203467797665485,0.10426503381078889,0.08037064267502225,0.07585940222260823,0.07573113804989595,0.07631352456689999,0.07725156816992174
Portfolio_09,0.1870323046865403,0.11734434812162353,0.10655029635713154,0.07821547063054102,0.07186128485680665,0.0709624827637092,0.06850329496509389
Portfolio_10,0.1500801523118125,0.10424913371068179,0.06219489711749604,0.06201104987630546,0.053348877088889246,0.051217367594056484,0.05204882245198672
Portfolio_11,0.14244573221333423,0.08554151520477171,0.08093791672727779,0.0818701793963329,0.07677480325029251,0.07263842283555366,0.07189136408134444
Portfolio_12,0.1917827987131614,0.13662384596883692,0.08916080348318245,0.07680971937397563,0.07316849684298421,0.07444905069340357,0.06812745167463707
Portfolio_13,0.16950236064240076,0.10253603744536244,0.08469299404145902,0.0799654412081281,0.0722968864286585,0.05971772854300994,0.05556008821535818
Portfolio_14,0.13888116742900514,0.07790914670780869,0.04937148639308542,0.04094294113261365,0.041249931818556074,0.037814461073764294,0.031327149237254326
Portfolio_15,0.22098430653202683,0.11824646274748873,0.09994778470189836,0.08899631294443466,0.08706665678072045,0.0765886950979745,0.07428207173961687
Portfolio_16,0.17458196176014884,0.11220054518595102,0.08614392574577678,0.0655043016542638,0.06020072222496542,0.05746493402066977,0.05775453220467319
Portfolio_17,0.1708661876954678,0.09704321779615976,0.07437353196950192,0.07407583014060004,0.07185923664048599,0.061438252981581565,0.05535319292162866
Portfolio_18,0.15331476226522855,0.09223983266367863,0.07826434305773045,0.07176864932073479,0.0730454356642577,0.06902969043946428,0.06964085603078729
Portfolio_19,0.14204400196114952,0.10042061543865166,0.07322730733974125,0.05648339512300804,0.04104500500540975,0.04182196375060088,0.041663152265023484
Portfolio_20,0.19703961603336106,0.11237402221486437,0.07236045241978639,0.056310360047433505,0.05741053857327494,0.04807666507587638,0.04645956192073741
