,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,0.1892798342234785,0.07196690228606162,0.06609529238644651,0.06020143005992917,0.05770469562068459,0.049607720171359504,0.046458681100660204
Portfolio_02,0.2550684296594745,0.21157145876721128,0.17346788037502614,0.1467840893877439,0.13889797820190852,0.1299459259134932,0.12793536466083333
Portfolio_03,0.28225552494770145,0.14155583361205626,0.12078872758693027,0.11177514238730879,0.11053503005692678,0.09552191299653545,0.07935119657841216
Portfolio_04,0.2180831773288291,0.14686798169857573,0.1483873824749924,0.14207326393802155,0.1409836526287318,0.13180156954497702,0.1293246685692795
Portfolio_05,0.16954466550176117,0.08018653230255646,0.07827949266192147,0.06689797163570788,0.05382323878548245,0.05096176742498537,0.05184301254513457
Portfolio_06,0.14758492297761705,0.0899221417154148,0.08951652958749323,0.0856498510735485,0.08318630781332237,0.07965419736236068,0.07816212743831807
Portfolio_07,0.3042911948174021,0.19867733864131132,0.15175515860592692,0.12345063352338681,0.10459903556425854,0.08738310581698994,0.08769993459211001
Portfolio_08,0.1495537071508578,0.09909863862012125,0.10167787001223316,0.08829168418293853,0.07836935111060095,0.07418475857437279,0.06430278348909368
Portfolio_09,0.18696572710743642,0.1404189882272996,0.12898065475131681,0.11011727284944561,0.09092780174105641,0.08602255470947506,0.0768880440940305
Portfolio_10,0.18910245771688383,0.1207004913879357,0.09655376150657735,0.0707197776302172,0.0627296878089576,0.055762353285470634,0.05403769015418247
Portfolio_11,0.21340173365834259,0.12528522059609848,0.07558348323121411,0.05866193905716255,0.05901620777788985,0.05693615616599956,0.053411313217116674
Portfolio_12,0.24364192008316254,0.18815663172755304,0.19011665014561374,0.18076115215945876,0.17640684698561604,0.17449735896067653,0.17197887574721016
Portfolio_13,0.34102819273958895,0.27966557188238284,0.24623659457436442,0.18147688318878663,0.17544033975668716,0.17431885117957413,0.17058935659038932
Portfolio_14,0.14983016317037146,0.07900868984317455,0.07787180188197385,0.07063629191156195,0.05674865210103308,0.04706985811589959,0.04818912109139539
Portfolio_15,0.28537847491318735,0.23295880983331985,0.18210551764663496,0.17098917088391286,0.1590875418603115,0.15325680607601033,0.1508081904230001
Portfolio_16,0.28655852091292766,0.1660045000683683,0.1635000376091177,0.16313697951445738,0.14182847729484938,0.11920490354929103,0.11029214781489849
Portfolio_17,0.30541440375857887,0.14774828147914887,0.11749495371616492,0.08717750077136388,0.08321002041914782,0.07837726163104919,0.07494486732187677
Portfolio_18,0.2159871546540001,0.114169346109675,0.08579207812869838,0.08107532041797527,0.0784210088998557,0.07104465431460383,0.06597402720319279
Portfolio_19,0.2000360515830567,0.12048503326746984,0.09082230767315969,0.07797142535770996,0.06911329268499189,0.05989018025792503,0.059244544143326916
Portfolio_20,0.21736440842130778,0.10909112705425383,0.10660881915444109,0.09735771981048258,0.07567493338985509,0.07489977335564979,0.07322530353068168
