,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,0.2072518825707047,0.11583417222761916,0.08035917497884493,0.0805394980286569,0.07070967448455279,0.05652699833459962,0.04799944385397237
Portfolio_02,0.25083368188533695,0.192073585872094,0.17341428058121922,0.15976655260082917,0.13141485445024792,0.1202784918922769,0.11799960761178074
Portfolio_03,0.2779742505252597,0.17361098978495915,0.1596311959782183,0.14014149511984275,0.12386178893675903,0.11329164856971086,0.1036422900155054
Portfolio_04,0.20713169151535282,0.1352949603286302,0.10304697627516746,0.0853541545548987,0.08576261822642761,0.0782725499443242,0.07491678261580803
Portfolio_05,0.17245743557611326,0.07823074407016295,0.07281626496940574,0.05619995497724983,0.04259906354732923,0.034336857044362734,0.03303459039148071
Portfolio_06,0.1322034223053271,0.0763187513174548,0.0737565400893786,0.07265403182549923,0.06856638950322635,0.06701412482159841,0.06305659636764083
Portfolio_07,0.2960218398370644,0.193777837680829,0.16282679132121858,0.12419401191283752,0.11567657440172963,0.10170093111967571,0.09542252670538798
Portfolio_08,0.1401455609586838,0.08331112625304427,0.0831196373338613,0.07740529794819895,0.06735800494056376,0.060427940494923504,0.05256192942447979
Portfolio_09,0.18898060517786353,0.14670891000841446,0.14210470150262455,0.10251074527917492,0.08527612285001385,0.08152482005863515,0.07752992307424877
Portfolio_10,0.20206542914716086,0.13794362797941429,0.13012522527604597,0.11064898128280443,0.10618394797452146,0.1031345974086646,0.09764490102859824
Portfolio_11,0.2271960866606786,0.11788982705070794,0.085520347269046,0.08581808272251434,0.08264293620017993,0.08192427931542812,0.08225663350570056
Portfolio_12,0.24232234014048348,0.19461700179188157,0.17832339171840106,0.1426059625712074,0.12718223590451727,0.13042323318754856,0.11784818968797484
Portfolio_13,0.3344728539290408,0.2147732391182472,0.16890500615125126,0.1458302765623185,0.13600360555472724,0.12599803921734876,0.11308581476281987
Portfolio_14,0.13874509919095224,0.07291209663358944,0.062128215210027204,0.05930061491071359,0.05965641287027135,0.055426437705427656,0.05376196849483583
Portfolio_15,0.28414381567282576,0.17369003772607416,0.14436482728963407,0.12967036321487058,0.13212574570539426,0.12129685760589948,0.12108051231165873
Portfolio_16,0.2164442526270297,0.17811386395474815,0.1731522914443525,0.17890324842616623,0.1802692440623449,0.1817501897509688,0.17811035864016855
Portfolio_17,0.27960523685877603,0.13949686815378903,0.12977123595633144,0.1122935435323058,0.10124041363718506,0.08720112692061566,0.08549703264304365
Portfolio_18,0.21700544308735914,0.1416454530822816,0.09770673358217719,0.08269608283384544,0.07607798769825613,0.07514396186508199,0.06977081870073887
Portfolio_19,0.21177321642059987,0.15073630341182864,0.1256522421892936,0.10945650245806138,0.08414722638340622,0.06609434928329527,0.05505123022625824
Portfolio_20,0.21371541797756088,0.11808431502061345,0.09774092730817008,0.08172348952635655,0.07135143533034727,0.06861819914538192,0.06839694113300876
