,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,0.7966285074611668,0.5647231285830153,0.5287126388150517,0.38506984188996884,0.38601179168807986,0.38169853884441673,0.36994527615634554
Portfolio_02,0.8122556860971635,0.6196670735838032,0.51363864008042,0.4990277025375319,0.4936536989324103,0.49010217683255397,0.48790750515398795
Portfolio_03,0.8092629596102068,0.6343493009747281,0.6207261131836863,0.5187210534689844,0.4900414653032874,0.49359694386984676,0.4800493371048493
Portfolio_04,0.8113159452203997,0.6334949114698569,0.597904992352873,0.510567290798274,0.4589086875071189,0.4494997516155653,0.3751671258589898
Portfolio_05,0.7867565352251839,0.5479766525540706,0.3759424340449691,0.29703588783062096,0.30504502900977293,0.2924081129446676,0.323805797918971
Portfolio_06,0.73522389498338,0.867572144958125,0.9086852644274275,0.8221447075636927,0.8074466196271824,0.7866357671594915,0.7496180288926684
Portfolio_07,0.8186739144115659,0.6606531814899546,0.5478357018852583,0.5304000433600624,0.5187070926670705,0.4807527799196949,0.45537193350673566
Portfolio_08,0.735398272051561,0.8590351482305596,0.6992867661972322,0.689999548862728,0.6961192668936205,0.7035173329001048,0.7364460452177419
Portfolio_09,0.823136156913331,0.6574327123737218,0.6313186405586844,0.5643719138689702,0.4942654187010327,0.3932076201913759,0.3485137203731701
Portfolio_10,0.7126555976836471,0.9921341462938973,0.9165091392055433,0.8653403011360705,0.7706547577623578,0.751472765353807,0.6820089075266351
Portfolio_11,0.8066645664504586,0.5627436509042427,0.5336508288052386,0.47162076423049737,0.34904437833236257,0.2827208210919222,0.2751081126872945
Portfolio_12,0.8310822176226249,0.6767342468922621,0.6171362237916359,0.4944010682648209,0.43271934310678584,0.39709591346590867,0.39351443255411556
Portfolio_13,0.8177706843575435,0.7679771640137285,0.5872216498508636,0.4970446846550651,0.4783098531218495,0.4745853922722535,0.48327696148289756
Portfolio_14,0.680309953519953,0.534660152583194,0.5799590760942834,0.43186331614372375,0.31787041265956106,0.2746487349516671,0.2193678857088055
Portfolio_15,0.8034285479393147,0.6501212307858972,0.570443987713684,0.4555960233405546,0.4284925007420032,0.39895039082624373,0.3920279643107908
Portfolio_16,0.8176795791247709,0.6535292318076446,0.5758539377963512,0.5021215652373632,0.49458855133236146,0.48637314577739943,0.4269051469957632
Portfolio_17,0.8102796086422017,0.5764938987194983,0.47125721350233507,0.43864380899885946,0.4344587055229804,0.43693188887849577,0.43397706606156605
Portfolio_18,0.7460278449847932,0.9882327444534134,0.9638810486927007,0.8202899018149259,0.8207541192087637,0.8192288188270294,0.7567293619677951
Portfolio_19,0.8076127512168605,0.5799604880323681,0.572278552205836,0.548866384018139,0.44925960764510553,0.40381842596178663,0.3617335668213657
Portfolio_20,0.8040067468174027,0.6094208110875063,0.5294855223905145,0.353288095972232,0.28770882285366706,0.27089921666407546,0.24414680705130665
