,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,-0.0728079556779993,-0.07914739611827007,-0.08091405523165089,-0.0806460282527025,-0.08024364512331582,-0.08021260550290246,-0.0815338792922043
Portfolio_02,-0.050327492748411716,-0.09625776218521892,-0.10938001416359686,-0.13322269741761544,-0.14319846919732787,-0.14399495365427872,-0.14360707401428427
Portfolio_03,-0.0676937534835986,-0.09499861972309558,-0.09559290331105152,-0.10342160152436247,-0.10322777972409918,-0.10344595395292637,-0.10415674504489646
Portfolio_04,-0.08157427342895389,-0.11051853843825711,-0.12676547421433987,-0.12931366916927078,-0.1298986123050408,-0.13230688648841485,-0.1321445048187146
Portfolio_05,0.0332113520960919,-0.0319103169202789,-0.03735935079315523,-0.03767761246939422,-0.037999318828019914,-0.03683528005383362,-0.03836204324554295
Portfolio_06,-0.010213420608554832,-0.021313862358727557,-0.021894455036554624,-0.021835879054945113,-0.022358451198878627,-0.023453006111828285,-0.022807604708769923
Portfolio_07,-0.0867543957670177,-0.1197642144935519,-0.14018108267587243,-0.14939388312266524,-0.15103750231816992,-0.1559779173766938,-0.16007380785434894
Portfolio_08,-0.1903097809133551,-0.2091691760240179,-0.21346909485498117,-0.21502963255490856,-0.21568389353218825,-0.2153440459692276,-0.21486741003703852
Portfolio_09,-0.3502324315852105,-0.40272202656565376,-0.4608892079771845,-0.47669537294146536,-0.4816047027320551,-0.4837354354834507,-0.48389034234857925
Portfolio_10,-0.33836637193004615,-0.39133295766217246,-0.4235781519549429,-0.42876524444099057,-0.44297742531311135,-0.44478408326105845,-0.4445095610374747
Portfolio_11,-0.19835947070727206,-0.24961124039068414,-0.25311257866959413,-0.2605087519856581,-0.26217928704499777,-0.2705889883672744,-0.27085130494491744
Portfolio_12,-0.1448656379656679,-0.16116587430103926,-0.17980995963602764,-0.1848377252108218,-0.18836464882348866,-0.1893237758550481,-0.19251797271751653
Portfolio_13,0.003599296079361193,-0.021317643766321125,-0.041043381675751826,-0.044794732930981164,-0.048976711623911186,-0.051251791604201985,-0.05175674821430258
Portfolio_14,-0.16962090131050894,-0.18096292643060966,-0.18043985525383696,-0.19477358801842712,-0.20017810951799256,-0.20190172676873938,-0.20086164851661006
Portfolio_15,-0.054640002131166016,-0.08179678445446582,-0.08375970562213922,-0.09342930225383696,-0.09520753059205435,-0.09640019765438698,-0.09749338990879931
Portfolio_16,-0.1945549318605629,-0.2381100548088878,-0.2746024167063133,-0.28835191213161715,-0.2950241877336557,-0.29808457991538,-0.2963374562787979
Portfolio_17,-0.09601595906748729,-0.13212239354502936,-0.14051369778400982,-0.14254287294904738,-0.14669923067185167,-0.15137828806751635,-0.15357779278969372
Portfolio_18,-0.04043443988484535,-0.04626971857305163,-0.049130302840599674,-0.04960545150942185,-0.05014156171364319,-0.05162467555978284,-0.0516125242674079
Portfolio_19,-0.07671644366801403,-0.09121972165759888,-0.09712394881170182,-0.10143427466300199,-0.10332387498505648,-0.10513204607396937,-0.10566474237718236
Portfolio_20,-0.09277460518640074,-0.12640133134414588,-0.13323120343873107,-0.1354601055148673,-0.13558231278172303,-0.13561318345723994,-0.13780532969286205
