,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,-0.08169337712765491,-0.09608864273910053,-0.09624061836615465,-0.09951830723537398,-0.10049453273968946,-0.10413098478334953,-0.10622885256835765
Portfolio_02,-0.05881209909922205,-0.09175490502793487,-0.11847974968574604,-0.1299544614896028,-0.13871364220623958,-0.1383269693108261,-0.1435101986030602
Portfolio_03,-0.07867472135884489,-0.08623851188078806,-0.10622718786135278,-0.10925936043643887,-0.11403216912855829,-0.11649715006937676,-0.11718298391993236
Portfolio_04,-0.08802724376207952,-0.11261020991508892,-0.12034670956936948,-0.12516952294223183,-0.13055609419713946,-0.13068319274359602,-0.13335591761959364
Portfolio_05,0.028689911197585415,-0.039309946879444925,-0.040109587028617555,-0.045078305933133035,-0.04916491653285261,-0.047714210413634876,-0.04910584489916519
Portfolio_06,-0.01902767969538542,-0.029864894170918345,-0.030770324576043295,-0.03169686177765821,-0.03434109345467106,-0.04631083928564875,-0.04618491433428367
Portfolio_07,-0.09477345500569079,-0.10563835340108946,-0.10684697098858292,-0.10524274673874964,-0.10925372480828643,-0.11053381478365609,-0.10831039883435516
Portfolio_08,-0.19442184710516916,-0.20262281399648305,-0.2148078784249102,-0.21710840808697449,-0.21717381704422623,-0.21687682612315112,-0.21639846608984675
Portfolio_09,-0.3547662754177044,-0.4293553116278189,-0.4409084975382933,-0.47123608133190237,-0.47803715021274085,-0.4789991640982437,-0.48163130395138365
Portfolio_10,-0.3425124046010373,-0.3886275891747066,-0.43094257456653595,-0.4311275617154067,-0.43984344255535085,-0.44198816804422136,-0.44115155791840605
Portfolio_11,-0.20054562759595776,-0.23906050283720334,-0.2421763882731594,-0.24154539847524473,-0.2449941371960048,-0.2477937921952121,-0.24829942914496433
Portfolio_12,-0.14751648972688022,-0.1657925158472683,-0.1815186266790258,-0.1856109584685956,-0.18681741861288084,-0.18639312782318254,-0.18848768732878304
Portfolio_13,-0.0054752270925613146,-0.03177218557109794,-0.038778957768259965,-0.04063541717394359,-0.04364677657070696,-0.04858647725638661,-0.050219138120015834
Portfolio_14,-0.1771259306430712,-0.22007911894190865,-0.2401831516212853,-0.24612084053787475,-0.2459045736570449,-0.248324772627831,-0.2528949135477304
Portfolio_15,-0.0611025058802569,-0.08524940173589958,-0.08955021492007995,-0.09212418414361243,-0.09257771912844352,-0.09504039734138424,-0.09558253246862385
Portfolio_16,-0.20016364102368456,-0.24875993448760786,-0.2690585297188712,-0.2851371839787214,-0.2892687718218553,-0.2914000021422337,-0.2911743997255315
Portfolio_17,-0.09661128360568316,-0.13704899641155566,-0.149466679500005,-0.1496297504395153,-0.15084392499097585,-0.15655218550837638,-0.15988537450695625
Portfolio_18,-0.046018074219557434,-0.06442012375129375,-0.06863097841190063,-0.07058814936029174,-0.07020345001330536,-0.0714134054404436,-0.07122925951416915
Portfolio_19,-0.08115291506757777,-0.09125269311981417,-0.09785106002964332,-0.10191391534353593,-0.10565999000729027,-0.10547146351923209,-0.10550999860468487
Portfolio_20,-0.1291582947168987,-0.17913696582127628,-0.20275724596467676,-0.2122317237506869,-0.21158228094612808,-0.21709212942904801,-0.21804671632896153
