,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,-0.03082379983961539,-0.08346879399382982,-0.0861037197751235,-0.08874863148776217,-0.08986905843292434,-0.09350263248274808,-0.09491578566825362
Portfolio_02,-0.015593155946717308,-0.042798232915189936,-0.06663002537497262,-0.08331933896919268,-0.08825168844989514,-0.09385072825741082,-0.09510822900990963
Portfolio_03,-0.05216756570783292,-0.0917332950991937,-0.09757314939760663,-0.10010783209284752,-0.10045656028416769,-0.10467835296397707,-0.10922567061471461
Portfolio_04,-0.0707694181511822,-0.09810699455833292,-0.09752373793099695,-0.09994755628072732,-0.10036582842276373,-0.10389058034765085,-0.10484139525557638
Portfolio_05,0.0322754008331894,-0.034094975534389664,-0.035511421180301504,-0.043964997895711774,-0.05367620054853004,-0.055801546326936825,-0.05514700523255187
Portfolio_06,-0.017052377402237605,-0.03624317664241258,-0.03637816875944092,-0.037665041322004045,-0.03848493524823534,-0.03966045992940376,-0.040157036988952885
Portfolio_07,-0.044482144762179945,-0.09311444649284263,-0.11472083129841766,-0.127754293516312,-0.1364349404810899,-0.1443624068226948,-0.14421651580851852
Portfolio_08,-0.17952762821036383,-0.20525744309848903,-0.20394215113268285,-0.2107685036375055,-0.21582844708112695,-0.21796240100240225,-0.22300176368840088
Portfolio_09,-0.35483753532692486,-0.40465785669851057,-0.41690063596595384,-0.43709065939436637,-0.45762970553533416,-0.46287993335794736,-0.4726568643606862
Portfolio_10,-0.3032481492741749,-0.3720742281775041,-0.3963706749796248,-0.4223648372543021,-0.43040446801342475,-0.4374150020871574,-0.439150358643793
Portfolio_11,-0.15251998579051956,-0.2121604955048568,-0.24580046657402443,-0.2572535924935805,-0.25701381034213416,-0.25842166607829603,-0.26080740993978846
Portfolio_12,-0.1303338093171975,-0.14871796145991065,-0.14806854108438322,-0.1511683339023642,-0.15261106243751527,-0.15324374038522984,-0.15407819903070885
Portfolio_13,0.061881131586179736,0.0377846870484048,0.024657485400162344,-0.0007729602340975248,-0.0031434462397383353,-0.0035838428023466707,-0.005048375416286769
Portfolio_14,-0.1694126505155751,-0.21930451966214992,-0.22010542739154,-0.2252026542592264,-0.23498613200446555,-0.24180458833298563,-0.24101609694343132
Portfolio_15,-0.04596768096733019,-0.05828808936645719,-0.07024034673447935,-0.07285306720521068,-0.07565035577930325,-0.07702077747163079,-0.07759628562895335
Portfolio_16,-0.11293180134276977,-0.20684564455038448,-0.20879666777689876,-0.2090794968417307,-0.22567921970806004,-0.24330340795704242,-0.2502466118313185
Portfolio_17,-0.022910345711641984,-0.10927448658334282,-0.1258462308679485,-0.14245310074678974,-0.14462635158273796,-0.14727357252494247,-0.14915372142033564
Portfolio_18,-0.027134704618730007,-0.05781269914560307,-0.06636285048213504,-0.06778402295974886,-0.068583774549276,-0.07080629110929523,-0.07233408544110866
Portfolio_19,-0.06708133466748306,-0.08638412802339011,-0.09358169097913364,-0.09669991537183897,-0.09884931217556517,-0.10108727011812352,-0.10124393160111995
Portfolio_20,-0.11716043267863559,-0.18107488097786326,-0.18254020407440352,-0.18800119041623217,-0.2008006854917189,-0.2012582676884004,-0.20224671852045484
