,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,-0.022758718142708318,-0.06378305149728532,-0.07970270325212153,-0.07962178202931645,-0.08403298371416043,-0.09039755828129951,-0.09422435766622886
Portfolio_02,-0.0182417688678983,-0.05499313113343581,-0.0666635492384991,-0.07519948823689322,-0.0929319903985705,-0.09989720186786614,-0.10132252461980464
Portfolio_03,-0.053371489779310756,-0.08271916278166545,-0.08665037779325382,-0.09213101689601848,-0.09670898322484424,-0.09968138003269258,-0.10239484660629829
Portfolio_04,-0.07497339565272755,-0.10254956265300054,-0.1149286865216655,-0.12172047950005159,-0.1215636814075779,-0.12443891487628707,-0.12572710267014262
Portfolio_05,0.03443884851484614,-0.035547628991124736,-0.03956921049563711,-0.051910904626167084,-0.062012909343813184,-0.06814962835970935,-0.06911688142093932
Portfolio_06,-0.022171507713907534,-0.0407705325624452,-0.04162326425891579,-0.04199019097125276,-0.04335060268666548,-0.04386721321464676,-0.04518432162296009
Portfolio_07,-0.048289957307640165,-0.09537053312453006,-0.10962264624622729,-0.12741198803249798,-0.13133403582063696,-0.137769438575364,-0.14066047265855927
Portfolio_08,-0.1843253594792767,-0.2133083640976632,-0.21340601483102217,-0.21632007081949933,-0.22144373820795452,-0.22497775927940503,-0.2289890710196153
Portfolio_09,-0.3526809530311869,-0.39792557142833856,-0.4028535890067759,-0.445232145934349,-0.4636788609738241,-0.46769398888879743,-0.4719698427165172
Portfolio_10,-0.29020480355818706,-0.35472417900086617,-0.3625910581308057,-0.38218806064054234,-0.3866807784858745,-0.3897490359339175,-0.395272770067418
Portfolio_11,-0.1431834583265053,-0.2171659709288973,-0.2390748300777216,-0.23887331172902873,-0.24102236813660538,-0.2415087816523791,-0.24128383206433132
Portfolio_12,-0.13077103077084126,-0.14657742241468394,-0.1519760463638848,-0.1638104383450559,-0.16892084050843204,-0.16784698852151436,-0.17201352562979688
Portfolio_13,0.05930692018731723,0.012302162418034723,-0.005709801808639161,-0.01477100118370743,-0.018629829728146623,-0.022558908554142557,-0.02762940091710553
Portfolio_14,-0.17722178714547104,-0.22359940956435875,-0.23119637098862678,-0.2331883411850162,-0.2329376908609421,-0.23591759734273224,-0.2370901722151822
Portfolio_15,-0.04625786798115092,-0.07221827141862201,-0.07911069563416796,-0.08256439565936936,-0.08198729706453424,-0.0845324549492889,-0.08458330346913757
Portfolio_16,-0.16755213131839697,-0.19741222297388006,-0.20127738101290826,-0.196797277665877,-0.19573314144628307,-0.19457945697996623,-0.1974149536796794
Portfolio_17,-0.03704772978433067,-0.11379433024106296,-0.11912170087100062,-0.12869538650998397,-0.13474991524155008,-0.14244015914555838,-0.14337360404874472
Portfolio_18,-0.026827891425321247,-0.04953407017709159,-0.06277293099734978,-0.06729568264645502,-0.06928973348344145,-0.06957115811639848,-0.07119010139306574
Portfolio_19,-0.06423335016344402,-0.07904375666530453,-0.08513032174715773,-0.08906016480759243,-0.0952013775337274,-0.09958184887804898,-0.10226142545263195
Portfolio_20,-0.11931445635018753,-0.1757661414618553,-0.18777498044559507,-0.19723018200655318,-0.20335287555843945,-0.20496632331422787,-0.20509693341132734
