,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,0.4357728890092754,0.14243195641702103,0.1270676247581524,0.08180971738673413,0.06979385756363614,0.06718663953372242,0.05817368599656593
Portfolio_02,0.8486711873563538,0.28596241022749175,0.2054014112324359,0.19636801494849804,0.17581346982816423,0.18020919562312393,0.17419131327357446
Portfolio_03,0.3973773039008767,0.09348487918015892,0.08591295769442343,0.05257229491450051,0.021891460199334092,0.02555478472740762,0.016317249732169706
Portfolio_04,0.35824305351754376,0.10489166249759918,0.09391475168140669,0.06403829417093194,0.03021990835249884,0.01443077590500627,-0.005945235489400106
Portfolio_05,0.6373810083169275,0.22499849502544086,0.17133130047583717,0.13778923439186208,0.10516505181688916,0.09989828684727914,0.0940479647711559
Portfolio_06,1.7507843637156526,1.2294305971964026,0.40233820524422165,0.3151656887752243,0.30168048626179966,0.29658795117885206,0.26303799072267814
Portfolio_07,0.6066031293081261,0.17416001531014044,0.11474776869082833,0.11346224737941071,0.07303821145750351,0.051568254236828884,0.053940969005024715
Portfolio_08,1.9448915887195466,0.8412491373105135,0.7459431647836088,0.6351317531519769,0.6599951653079673,0.5825940116906335,0.5641816321925293
Portfolio_09,0.8478239987741834,0.11374374464961103,0.09297849589043479,0.03474879298475315,-0.03246863715196836,-0.14215290409692452,-0.166634662636766
Portfolio_10,3.046553897486952,2.470777747066997,2.4733349829375855,0.7458821221589733,0.4063251067404618,0.39732758223139714,0.28324116018262785
Portfolio_11,0.4384067898351757,0.04595364034352592,0.02895224158263296,-0.015269392620665982,-0.07315128416785832,-0.10531355197073648,-0.10455241659206711
Portfolio_12,0.2962908653163048,0.030856215099731615,0.00926008093468246,-0.026083914171504796,-0.051291512900057346,-0.050264826756380936,-0.04323617622551393
Portfolio_13,0.5916349378286488,0.3268939672738836,0.21081301694691534,0.14162916986985802,0.125852854904539,0.12585752730945016,0.12713895956903823
Portfolio_14,1.6760722816647744,0.054111488102707724,0.032391818974845936,-0.030068860256562215,-0.07453364395308064,-0.09446654931158678,-0.12492306995630342
Portfolio_15,0.2767438261774874,0.05314309429747218,0.03662650342167247,0.006375673293568231,-0.00029642262087189823,-0.016084352844608324,-0.01850453220930314
Portfolio_16,0.829538777885626,0.21425233893356035,0.15643711922185616,0.076357302329151,0.07460777984705125,0.06690839576635493,0.022530819928425497
Portfolio_17,0.4551573891188928,0.16669616999697554,0.09444311403947991,0.0544452885978624,0.05017433106564626,0.0348585824003967,0.037149829451371255
Portfolio_18,1.5325354970793703,1.1329463083925178,1.1471428313485659,0.30730316864984275,0.2911116968681332,0.29509188534129654,0.22712868127699107
Portfolio_19,0.19090953836208147,0.0341553619993043,0.031166526354034538,0.030023749937504805,-0.008021466961433282,-0.019443321276129525,-0.023206268004776657
Portfolio_20,0.39507259332182204,0.057935140266255625,-8.682940162765568e-05,-0.05144525385675314,-0.06586366214506346,-0.08522579470601295,-0.09825574295432497
