,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,0.3405,0.3631,0.3764,0.3426,0.3532,0.3625,0.368
Portfolio_02,0.1701,0.2946,0.3773,0.6087,0.6997,0.7186,0.721
Portfolio_03,0.211,0.3241,0.3703,0.481,0.4733,0.4584,0.4741
Portfolio_04,0.1455,0.3418,0.478,0.5517,0.5749,0.6221,0.6306
Portfolio_05,0.0231,0.0984,0.1008,0.1079,0.1135,0.1174,0.1269
Portfolio_06,0.0676,0.0796,0.0815,0.0786,0.1114,0.1203,0.1305
Portfolio_07,0.1786,0.3772,0.5471,0.6398,0.6716,0.7045,0.7556
Portfolio_08,0.1225,0.161,0.1895,0.2169,0.2115,0.2273,0.2086
Portfolio_09,0.1206,0.1696,0.2935,0.3299,0.3769,0.3861,0.4056
Portfolio_10,0.0938,0.1359,0.2277,0.2864,0.3854,0.4337,0.433
Portfolio_11,0.1117,0.1785,0.186,0.2252,0.2564,0.3648,0.3862
Portfolio_12,0.238,0.4389,0.6098,0.7068,0.7307,0.7473,0.7767
Portfolio_13,0.1727,0.2821,0.461,0.5167,0.5848,0.6222,0.5842
Portfolio_14,0.0779,0.0626,0.0667,0.1149,0.1414,0.1331,0.1265
Portfolio_15,0.1319,0.3031,0.3136,0.4621,0.5016,0.5419,0.5724
Portfolio_16,0.2005,0.2754,0.441,0.5131,0.5473,0.58,0.6079
Portfolio_17,0.122,0.294,0.44,0.4486,0.5178,0.5897,0.6413
Portfolio_18,0.0849,0.0862,0.09,0.11,0.1051,0.1036,0.1064
Portfolio_19,0.0854,0.1613,0.2592,0.3995,0.474,0.5531,0.5837
Portfolio_20,0.0209,0.0163,0.0285,0.0261,0.0315,0.0339,0.0319
