,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,0.3835,0.4553,0.4601,0.4926,0.5201,0.5765,0.5956
Portfolio_02,0.1728,0.2458,0.4535,0.5525,0.6531,0.6531,0.7152
Portfolio_03,0.2066,0.296,0.4804,0.5179,0.6227,0.7053,0.7425
Portfolio_04,0.1698,0.3684,0.4377,0.4466,0.5368,0.596,0.5746
Portfolio_05,0.0289,0.1635,0.1995,0.1125,0.1365,0.1446,0.1496
Portfolio_06,0.0719,0.085,0.09,0.0967,0.1099,0.2055,0.203
Portfolio_07,0.2109,0.2337,0.2608,0.256,0.2706,0.2821,0.2931
Portfolio_08,0.1209,0.1301,0.1647,0.1931,0.2182,0.2149,0.2026
Portfolio_09,0.1156,0.2245,0.2786,0.3366,0.3963,0.451,0.4537
Portfolio_10,0.1015,0.1404,0.2349,0.2589,0.3487,0.4436,0.4344
Portfolio_11,0.1148,0.2259,0.2646,0.2664,0.3013,0.3595,0.368
Portfolio_12,0.2392,0.4049,0.6208,0.7097,0.7251,0.7199,0.728
Portfolio_13,0.1945,0.3498,0.4573,0.485,0.538,0.5948,0.6139
Portfolio_14,0.0808,0.1194,0.1452,0.1741,0.1903,0.219,0.271
Portfolio_15,0.1458,0.294,0.3674,0.4421,0.4421,0.5025,0.5684
Portfolio_16,0.2118,0.3781,0.4516,0.4937,0.5504,0.5679,0.5627
Portfolio_17,0.1397,0.3194,0.5228,0.5909,0.6169,0.6695,0.692
Portfolio_18,0.1102,0.1787,0.2224,0.2455,0.2468,0.2516,0.2431
Portfolio_19,0.1025,0.186,0.3339,0.4277,0.5681,0.635,0.6383
Portfolio_20,0.0722,0.1292,0.2861,0.3627,0.386,0.4916,0.5084
