,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,0.2139,0.3982,0.4459,0.4451,0.4541,0.5545,0.5764
Portfolio_02,0.0607,0.0874,0.1746,0.2609,0.2967,0.3673,0.3702
Portfolio_03,0.0981,0.4126,0.4449,0.513,0.5051,0.5717,0.6424
Portfolio_04,0.1487,0.2496,0.2561,0.2724,0.2744,0.3143,0.3244
Portfolio_05,0.0421,0.0223,0.0236,0.0399,0.0533,0.0436,0.0452
Portfolio_06,0.0329,0.0198,0.0182,0.0209,0.0228,0.0208,0.0152
Portfolio_07,0.0855,0.241,0.3117,0.4046,0.4728,0.5341,0.5424
Portfolio_08,0.0963,0.1361,0.1346,0.162,0.2049,0.2825,0.3344
Portfolio_09,0.1668,0.2465,0.2627,0.2922,0.4,0.4386,0.4974
Portfolio_10,0.069,0.0495,0.0595,0.1788,0.2666,0.3014,0.2882
Portfolio_11,0.0574,0.1861,0.2274,0.268,0.2632,0.2753,0.3212
Portfolio_12,0.1729,0.281,0.2725,0.261,0.253,0.2866,0.2737
Portfolio_13,0.046,0.0441,0.0748,0.1366,0.157,0.1727,0.1854
Portfolio_14,0.043,0.05,0.0501,0.0556,0.0617,0.0695,0.0768
Portfolio_15,0.1068,0.1215,0.1902,0.2389,0.2711,0.2712,0.2986
Portfolio_16,0.0655,0.158,0.1632,0.1687,0.1879,0.216,0.2197
Portfolio_17,0.0282,0.1147,0.1669,0.4235,0.4242,0.4707,0.4927
Portfolio_18,0.0628,0.22,0.2569,0.2702,0.2877,0.3344,0.3714
Portfolio_19,0.1244,0.1922,0.2164,0.365,0.5268,0.5962,0.5933
Portfolio_20,0.0387,0.0178,0.0135,0.0332,0.0856,0.0922,0.0976
