,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,0.1888,0.3094,0.3992,0.386,0.4792,0.4684,0.5435
Portfolio_02,0.0641,0.0789,0.0605,0.0954,0.2002,0.2767,0.2821
Portfolio_03,0.0914,0.2239,0.2802,0.3765,0.4239,0.4826,0.5498
Portfolio_04,0.1612,0.2723,0.3413,0.4869,0.4825,0.5605,0.5769
Portfolio_05,0.0322,0.0264,0.0274,0.0691,0.1002,0.1592,0.1621
Portfolio_06,0.06,0.065,0.0643,0.0634,0.0641,0.0693,0.0712
Portfolio_07,0.0943,0.27,0.355,0.4318,0.464,0.5607,0.5636
Portfolio_08,0.1457,0.2074,0.2282,0.257,0.3829,0.4825,0.5512
Portfolio_09,0.1842,0.2798,0.2909,0.3968,0.452,0.4455,0.395
Portfolio_10,0.0784,0.1308,0.1352,0.12,0.1231,0.1319,0.1589
Portfolio_11,0.0428,0.1017,0.1169,0.0852,0.1143,0.1148,0.1267
Portfolio_12,0.1756,0.2459,0.2801,0.3759,0.4102,0.3926,0.4527
Portfolio_13,0.0433,0.0605,0.1299,0.2464,0.3179,0.2622,0.3586
Portfolio_14,0.0519,0.0518,0.0565,0.0602,0.0561,0.0565,0.0512
Portfolio_15,0.0966,0.1875,0.2139,0.2513,0.3162,0.3997,0.4092
Portfolio_16,0.1273,0.1372,0.1403,0.1422,0.1362,0.1305,0.1425
Portfolio_17,0.0342,0.1667,0.132,0.2341,0.2981,0.4674,0.478
Portfolio_18,0.0636,0.0955,0.2036,0.2947,0.3164,0.3312,0.3248
Portfolio_19,0.1152,0.2056,0.2014,0.2153,0.3531,0.5498,0.5848
Portfolio_20,0.0715,0.2402,0.2175,0.2855,0.3137,0.3024,0.324
