,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,0.0236,0.0519,0.0586,0.0761,0.0738,0.085,0.0792
Portfolio_02,0.0066,0.0143,0.0192,0.02,0.0219,0.0208,0.0191
Portfolio_03,0.0051,0.0135,0.0149,0.0186,0.0227,0.0222,0.0302
Portfolio_04,0.0055,0.0133,0.0153,0.0169,0.023,0.0288,0.0388
Portfolio_05,0.0047,0.0122,0.0167,0.0189,0.0211,0.0197,0.0207
Portfolio_06,0.0064,0.0032,0.0,0.0001,0.0001,0.0003,0.0006
Portfolio_07,0.006,0.015,0.0186,0.0226,0.0269,0.0343,0.0323
Portfolio_08,0.0082,0.0089,0.0162,0.0161,0.0154,0.0176,0.0093
Portfolio_09,0.0047,0.0117,0.013,0.0198,0.0248,0.0354,0.0482
Portfolio_10,0.0078,0.0003,0.0057,0.0016,0.0219,0.027,0.0425
Portfolio_11,0.0069,0.0122,0.014,0.0252,0.0322,0.0435,0.0457
Portfolio_12,0.0045,0.0141,0.0164,0.03,0.0448,0.0666,0.0606
Portfolio_13,0.0067,0.0083,0.017,0.0197,0.0208,0.0233,0.0228
Portfolio_14,0.0088,0.0142,0.012,0.0253,0.0389,0.0513,0.0709
Portfolio_15,0.0069,0.0105,0.0146,0.0253,0.023,0.0279,0.0273
Portfolio_16,0.0067,0.0125,0.0169,0.0214,0.0242,0.0262,0.035
Portfolio_17,0.005,0.0135,0.0195,0.0226,0.0211,0.0284,0.0285
Portfolio_18,0.0074,0.0,0.0009,0.0031,0.0034,0.003,0.0022
Portfolio_19,0.0064,0.0133,0.0133,0.0161,0.0227,0.0297,0.0422
Portfolio_20,0.005,0.0104,0.0156,0.0246,0.0345,0.0313,0.0446
