,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,0.09746145118511962,0.04661944242306593,0.04306010060563237,0.04094796172010462,0.04028648958348313,0.041431629970895334,0.04178517466503451
Portfolio_02,0.2026351525643788,0.12425749017184307,0.077787798825395,0.060186910170360486,0.06091135311437745,0.060604333250675935,0.06001562085105405
Portfolio_03,0.2265755606748734,0.15421111310409374,0.10903489366950914,0.08834929689358906,0.07783315688235715,0.06301816721851394,0.05807786821248195
Portfolio_04,0.19066064452970943,0.11070271553327826,0.07309903514112759,0.06018976311551738,0.06250751483257488,0.06094975168272343,0.05940507340520118
Portfolio_05,0.16831769692344323,0.07470917024742652,0.07493800427080599,0.0764945672731947,0.07672595931114057,0.07662061475356774,0.07548463888728074
Portfolio_06,0.16795079951780345,0.06036375540170624,0.059678222744846465,0.051578545604920034,0.05240070608912617,0.03619574294211725,0.01662486269937624
Portfolio_07,0.20750646794591698,0.13985774868108836,0.09413316033807162,0.07228087378270676,0.07107008615685306,0.06170415003268426,0.3315537760131023
Portfolio_08,0.12595248731414677,0.07722430428353422,0.07357392442447341,0.07145831636638622,0.07326990980580683,0.07116907710679388,0.07085789327030945
Portfolio_09,0.19243305974296254,0.11704110896426367,0.0866837196786936,0.06817818209893678,0.060875993411512286,0.059703384510830015,0.059167399154682165
Portfolio_10,0.1549583806821334,0.10149702366979796,0.06588214582567964,0.06587007550473434,0.05630327446283312,0.05521393333154667,0.052110647158499224
Portfolio_11,0.14657883441065833,0.11891165809296589,0.1097867417187357,0.050447060936805066,0.04410490253404342,0.04471081696441159,0.03859688211874546
Portfolio_12,0.20030590035921925,0.1388914214828093,0.09151392759792609,0.07383947043646544,0.057036982250498136,0.04818341767467649,0.04312554957475345
Portfolio_13,0.19605065503581143,0.1478045757417471,0.07578565957756034,0.06324377419883787,0.05480560790311695,0.04696005457277719,0.04060889240014398
Portfolio_14,0.15170765820450005,0.06318395185457171,0.06428164849464901,0.03934927459546367,0.04075170104007131,0.04109078832126689,0.03948552211235534
Portfolio_15,0.2540792905054663,0.1329102260806636,0.10262461660205069,0.08029049441923208,0.06529337160404391,0.06406628736814957,0.06575667287064524
Portfolio_16,0.18260993117007907,0.11238146542739935,0.07737961125994042,0.060177343428407415,0.04859186899627432,0.04773915504195403,0.04727535036155206
Portfolio_17,0.17544618673450318,0.10201663922694393,0.07500815991863852,0.05631567920835612,0.05599970669387022,0.055661165447855376,0.053844127246416185
Portfolio_18,0.17361472862060257,0.11753329791169631,0.07567222242715155,0.06764167653246234,0.03721334984915836,0.03627183459325045,0.03383978452982728
Portfolio_19,0.16185770667324728,0.09800225120131933,0.0699872024799072,0.055154317369045525,0.04549785710656484,0.035594498804383035,0.03648584045233283
Portfolio_20,0.2604234345585422,0.16908882035335548,0.17733383833293903,0.17941598821682359,0.15709678673943628,0.1520514207431004,0.1451243834294922
