,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,0.0778589889483361,0.04025640087828486,0.03533475647439255,0.02864063405339723,0.027746714385340265,0.027324303124600546,0.01913685705248347
Portfolio_02,0.19057797908703245,0.12245185541808412,0.07729163419643159,0.07535701155419794,0.07542485053720283,0.07599123800935548,0.045726141254370134
Portfolio_03,0.1885589039301263,0.10910421286399452,0.10755831665324589,0.10738983955223613,0.10566657102457266,0.10502732816966454,0.10657767713870869
Portfolio_04,0.17415629751301775,0.10106858100412497,0.06915385948246122,0.056220714043432984,0.055634366019009396,0.05692744156958751,0.056274346083541205
Portfolio_05,0.16723422307753988,0.05969577991465924,0.050343563537927905,0.050422388087469905,0.05029745553979703,0.050353739093120464,0.05059066565780501
Portfolio_06,0.14121443116226884,0.053325001132036975,0.048504406307156134,0.03479188456424287,0.03135375800178908,0.031443257543374514,0.031295479958479144
Portfolio_07,0.1995257217738028,0.12749624047731956,0.08377250418619653,0.0674433171399953,0.054541918841783055,0.05288115409595673,0.05163660743248677
Portfolio_08,0.1234646417420957,0.07509082393627631,0.06943920223664912,0.06967624874342249,0.06945122372779233,0.06927222506989894,0.07018134347027405
Portfolio_09,0.1887757767577648,0.11390553616531163,0.08618839721572336,0.07850142855106013,0.07945658331421157,0.06370603900928651,0.06143416214874475
Portfolio_10,0.1488038487693233,0.10011452384485753,0.0644345176084915,0.0627127353219461,0.05823447321358555,0.056289786100802375,0.05640408250695572
Portfolio_11,0.13943374003901243,0.11292807398160032,0.11070450922581865,0.10758023981330878,0.10605590014164323,0.10779214808565896,0.1095678301166586
Portfolio_12,0.18942474315131286,0.1389962110323686,0.08970274894515495,0.06933959888446206,0.0570161415024063,0.04660082501753493,0.04680885654566358
Portfolio_13,0.16797747372626715,0.09948904698091587,0.07152461994282888,0.0590403685266655,0.05007081020217985,0.04314908242846027,0.038204785141776165
Portfolio_14,0.13710659766382738,0.060716164373974535,0.05917392470930638,0.041828091901500275,0.03990724261677847,0.03053587296877114,0.03095715129007459
Portfolio_15,0.2161836786890613,0.11688532361060788,0.11237607948884054,0.11352537386188499,0.1128858972259893,0.11218343097108141,0.11265339158385568
Portfolio_16,0.17549049738281808,0.10685921721240066,0.0750250426078285,0.06152319138519802,0.049061838061441376,0.04845108133844278,0.04740183699900802
Portfolio_17,0.17261149741132864,0.09054904880489123,0.07426782172880086,0.052406032150180915,0.051412167621535665,0.05244350250637686,0.04947729863478045
Portfolio_18,0.15056127226380445,0.07471973276330335,0.07034712556887013,0.06890821312096473,0.0700123401131183,0.0700009016430524,0.07344581765915958
Portfolio_19,0.14124869195472067,0.08578381080887976,0.06244689837403827,0.04802183363052848,0.03985217483758319,0.030899048280156216,0.02739409879967003
Portfolio_20,0.1946145402897428,0.2767372321046513,0.26127701829361005,0.22506561417606763,0.21002753459117685,0.21018707567229766,0.19876458818086273
