,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,0.19343148624556827,0.07228024499362184,0.06515663418412543,0.06659025454470102,0.06338127693611428,0.0654575762091768,0.0656243184660057
Portfolio_02,0.255386987657213,0.2077579773760031,0.16401423805436788,0.13076796300659455,0.10206165153655866,0.09393806644474201,0.09079392335630898
Portfolio_03,0.2823978439047502,0.13887794045188329,0.11487641294798634,0.11020603533475304,0.11181416694354773,0.11222979803208222,0.07263223705280109
Portfolio_04,0.2214672061896149,0.14708013442765566,0.11762999315148082,0.11366300025424858,0.11593339892530596,0.11504260789767706,0.11673737349297275
Portfolio_05,0.16837082510452905,0.07617871238143537,0.0705581970728395,0.06484923731191095,0.04769684936237739,0.0467034966727875,0.045181901183320106
Portfolio_06,0.14660746598928598,0.08652307375173363,0.0764322213845795,0.07494156396908958,0.056689862752373865,0.043653910535358054,0.03973902116863426
Portfolio_07,0.3009036843009979,0.19424909624955877,0.14909955025906263,0.11691449011571531,0.09975449807508674,0.08503827978966294,0.0815487454455015
Portfolio_08,0.14819527657249998,0.09494962022309072,0.07629906742331471,0.06851987619982702,0.0629758296997377,0.0645024940485277,0.06590787360138106
Portfolio_09,0.1873607138524207,0.13512871190445452,0.13621623642088465,0.13320810621781243,0.1336276456880381,0.13202794776274518,0.1329788624815914
Portfolio_10,0.19257195405800864,0.11646293096139648,0.09504459933273168,0.07035433078916975,0.06469147715716128,0.06304116303038099,0.06358515689605382
Portfolio_11,0.21848846687260082,0.0825678147453105,0.0636696740706153,0.06400810206169005,0.06286229730723236,0.062399383420993604,0.06139658788026825
Portfolio_12,0.2387609824131437,0.18554690926765116,0.18541627474454725,0.18584679606098908,0.18536037327360455,0.18596982084623603,0.18368773021608675
Portfolio_13,0.3378409289134868,0.22212238261949668,0.20088392356335605,0.20023305491106802,0.19941704364420143,0.19856968854035284,0.19606739556189456
Portfolio_14,0.14769170577978885,0.0801185082617144,0.07409752499997524,0.05443168130373066,0.04474452498376513,0.03980528228146185,0.03555688785576472
Portfolio_15,0.28555731156015685,0.17987556789023718,0.15860473686530407,0.1391678813286792,0.1240956730711017,0.12218687215034163,0.12016306787966469
Portfolio_16,0.2925579571748911,0.16371506295951554,0.11692679218439994,0.1163437187858708,0.11439706138926398,0.11343773447749617,0.11882219022958107
Portfolio_17,0.30762726837575394,0.14410745051355767,0.10761340791366736,0.08131141325572888,0.07940760187063256,0.07603405354919834,0.06539592095736113
Portfolio_18,0.21352995665859942,0.11844618619961655,0.08284727579175977,0.07712871243756148,0.06370224282063608,0.05634202908609354,0.05712174994827168
Portfolio_19,0.19926763259783198,0.11996293235378375,0.09013147093401774,0.07348894689975283,0.06483859773861922,0.05462242034534015,0.04793204647522509
Portfolio_20,0.21413066362741373,0.1069623645467076,0.1056289065630629,0.07920956733905371,0.07464318473742415,0.060882458367472636,0.05495041333992401
