,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,0.20602084445815194,0.10061256372592564,0.10415604166483983,0.0992567372645472,0.10132269519553627,0.10089546424599638,0.09935906933887151
Portfolio_02,0.2479465447258623,0.191909311921294,0.17431475602768187,0.14806768298951867,0.1303082658062188,0.11540908759180624,0.11211737324801407
Portfolio_03,0.27590318917573653,0.1717529683618494,0.1501171791496575,0.13466045914165614,0.12379122361923733,0.10506736073995604,0.081814799015125
Portfolio_04,0.20870406666791663,0.12272229543739799,0.10193148753184855,0.08263317644805634,0.07631445092651645,0.07219141019702713,0.0729443681727533
Portfolio_05,0.17191254163714653,0.07487601997206361,0.06439840436412103,0.0425495963494974,0.037670458866282286,0.03752144471823482,0.03705195001831807
Portfolio_06,0.12937934824058683,0.07181197928290473,0.07066521350572108,0.05735923753152472,0.047009679320933806,0.041464805579188524,0.039144789484357956
Portfolio_07,0.2935186590927501,0.18997991041328222,0.15567024486980108,0.11940268572685198,0.10780481292724797,0.09453922518273894,0.08700029824826194
Portfolio_08,0.13980184726788303,0.08183508609053836,0.0775983411517539,0.07386573168060717,0.06620826042721661,0.06304527498111812,0.06352930327079354
Portfolio_09,0.18999660223652637,0.1460977632772198,0.11380212255939748,0.09372334977938113,0.09160368783437223,0.09028336603864606,0.09102892113712147
Portfolio_10,0.19937697502622698,0.13171302724838474,0.10888418620398277,0.09465688239632852,0.059501977388783156,0.05133066223706473,0.04977965511063409
Portfolio_11,0.2258276375219247,0.11479074379778975,0.08298264202394068,0.06813272083749389,0.06542829968640707,0.059295055009106146,0.050277376224452164
Portfolio_12,0.23729208613525332,0.1895329332025507,0.16312915280979712,0.1345441982595137,0.12217187300027676,0.11530816299918556,0.10960816966473208
Portfolio_13,0.3361309715642967,0.21748136014476194,0.1610065829366829,0.13633588747447756,0.1148327036426724,0.10137614430297581,0.08873916384926117
Portfolio_14,0.13940025999289773,0.06469411021153482,0.06413914388891406,0.06180123333284526,0.06349960379881159,0.06434257392103615,0.06344998422826087
Portfolio_15,0.2839616715927924,0.17322857119390167,0.1436853255219105,0.12581812900097644,0.1172290907375867,0.1052183169564721,0.07599666962916862
Portfolio_16,0.21860584439945163,0.16204258018213846,0.11625897084046755,0.11547033432365017,0.10069805596560388,0.09323137834682027,0.09086919763879864
Portfolio_17,0.2823631077349278,0.13336912784347577,0.11284355109785771,0.09287001586093013,0.08169187201175321,0.07791022749155097,0.07589145415978127
Portfolio_18,0.2184357866037029,0.1330212774232895,0.08837298552721817,0.08833320610354323,0.08138622644737126,0.07200454854624772,0.06989369791050581
Portfolio_19,0.2114430196233099,0.15078902005218375,0.1203609656267165,0.10514968744928055,0.08038343442512608,0.06380485144586379,0.05422535414288354
Portfolio_20,0.2154144313707158,0.1014813403564977,0.07973137429710997,0.06996992485730102,0.06397952372210769,0.05938541592766511,0.058908558855031545
