,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,0.797254103471411,0.5768860572844949,0.5741870389766954,0.5755718894681578,0.5744763943937937,0.5745244383690451,0.5748233406125332
Portfolio_02,0.8183326427244676,0.650631833084794,0.6542895835491388,0.6530383477189496,0.6575009235786387,0.6498906945660976,0.6521599611608464
Portfolio_03,0.8058360182146599,0.6518017475904747,0.6536916871335605,0.6518162456582746,0.6573639922906135,0.6499521282094893,0.6539284695731771
Portfolio_04,0.8107444190644115,0.6245249389371456,0.6306942899618104,0.6235198240692869,0.6227708886292861,0.6287446641748855,0.6188989528050268
Portfolio_05,0.7871327064179438,0.5191273033452578,0.523431101255118,0.5200355379945658,0.5287967777971765,0.5216266529505802,0.5187329205837278
Portfolio_06,0.781338524812462,0.5766406106169555,0.5696538280548447,0.583375922279755,0.5765697319714311,0.5777372901441962,0.5825195457960688
Portfolio_07,0.8181584986446451,0.6702125589608028,0.6710776617876586,0.6673655707706,0.6709812472576775,0.6698145809601361,0.6681683243855714
Portfolio_08,0.8088093109682812,0.61977726088012,0.6174498447550233,0.6257620524748466,0.6181997388386071,0.61978076932429,0.6204049121523785
Portfolio_09,0.823218178676324,0.6411738986187492,0.6387126362639197,0.6407135025607187,0.6465500953892644,0.6457013626215017,0.6400291108129521
Portfolio_10,0.7055320017246922,0.9122823795894774,0.9095016485733447,0.905299287360015,0.9075291003984655,0.9008651788596318,0.8930925406446748
Portfolio_11,0.8045062388762821,0.5877777740864838,0.5987858721957975,0.5956062622488143,0.5930568609907283,0.5909940385540163,0.597185156577706
Portfolio_12,0.8271087136188509,0.6787908151442978,0.6839723125071666,0.6763351907843532,0.6800034751580655,0.6754943994066096,0.6824945346327131
Portfolio_13,0.8186019189316316,0.659736917085092,0.6632593076240318,0.6619592138680227,0.655906283197945,0.6634616540703328,0.6564495160802029
Portfolio_14,0.6787734530555989,0.6060559236864365,0.5974997975805831,0.5920175801450132,0.5961598111328771,0.5909499898692939,0.5962209925655271
Portfolio_15,0.7990268287847772,0.6408088158479022,0.6377182571946345,0.6398691218705221,0.6431324810199857,0.6453807467985638,0.6476901214899456
Portfolio_16,0.820375299459088,0.6565633689957813,0.6600879874778136,0.6549157330777442,0.6545720352986012,0.6544673750069577,0.6537879699787925
Portfolio_17,0.8154448420035757,0.6103970799188119,0.6071490404659379,0.60575964620195,0.6082550471346737,0.6033023630483683,0.6116820936002657
Portfolio_18,0.7901597347526494,0.6028088748972988,0.6053785128747845,0.6058274502504082,0.5964206050639209,0.5954918269985443,0.6046830811963049
Portfolio_19,0.8055433656004856,0.6120890994026509,0.6155737256902956,0.6112616523019725,0.6090218026286124,0.6142784015955425,0.6181651004508844
Portfolio_20,0.8029419786791088,0.5773912963924104,0.581139373476284,0.579526552384596,0.5774129237357671,0.5746365902096291,0.5769431280695958
