,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,-0.0720279378529974,-0.0948436429066798,-0.09644092230356349,-0.09738875931901557,-0.09768559954106536,-0.09717170982741276,-0.09701305418690633
Portfolio_02,-0.04838742437093663,-0.09740854685965575,-0.1264729047643149,-0.13748133870238713,-0.13702823758644814,-0.13722026242982263,-0.1375884711996626
Portfolio_03,-0.06782515797421503,-0.08817454270250569,-0.10087840904439781,-0.10669534237641504,-0.1096525539095484,-0.11381863179082174,-0.11520787814758013
Portfolio_04,-0.08129618254519962,-0.11198985647184803,-0.12642488647931707,-0.13138040485201258,-0.1304906830153017,-0.13108866591426638,-0.13168162588667823
Portfolio_05,0.031364075099105375,-0.03816326308791365,-0.03799329758266356,-0.03683716698089634,-0.03666530152112139,-0.03674354574673423,-0.037587287027920996
Portfolio_06,-0.010274392721691103,-0.04608052831351121,-0.0463086810196832,-0.0490043414526366,-0.048730717523123745,-0.05412390508087578,-0.06063730636799232
Portfolio_07,-0.08904887313053009,-0.12019926424488105,-0.14125419072252385,-0.1513165729869638,-0.15187410768254467,-0.15618686595188827,-0.03192846930073867
Portfolio_08,-0.19156318846656667,-0.216412369445254,-0.218273898936345,-0.21935276386103025,-0.21842893271371078,-0.21950026287003774,-0.21965895262593485
Portfolio_09,-0.3489856910194492,-0.4296798772716336,-0.46217226936174516,-0.4819792816586013,-0.4897950254867624,-0.4910501027205426,-0.4916237833550231
Portfolio_10,-0.33760392976115433,-0.3913967631179466,-0.4272324638175966,-0.4272446089781286,-0.43687072703730573,-0.4379668224082199,-0.4410893498802899
Portfolio_11,-0.1977481914153439,-0.21647435794871567,-0.2226504382853872,-0.2628137253371624,-0.2671063323263038,-0.2666962270666357,-0.27083436392525395
Portfolio_12,-0.14469249796198763,-0.1650411914065125,-0.18073895709420043,-0.18659510237389434,-0.19216233484833342,-0.19509582015571925,-0.19677166287768205
Portfolio_13,0.004950004008828566,-0.013995715023933063,-0.04227677269028248,-0.047201836861364484,-0.05051541446455255,-0.05359627929809046,-0.05609031271624251
Portfolio_14,-0.16809000454161585,-0.23045263223188672,-0.229679333759595,-0.24724353678520397,-0.2462555641636969,-0.24601668607393298,-0.24714755398556779
Portfolio_15,-0.05332405636338007,-0.0818029174316294,-0.08892106816426908,-0.09417034829814791,-0.0976951834456725,-0.09798359007519436,-0.09758629185302949
Portfolio_16,-0.19390970229017837,-0.24861899422639194,-0.2758860950765324,-0.2892869843428393,-0.29831228620902994,-0.29897656637194747,-0.29933787891655655
Portfolio_17,-0.09410251585975957,-0.13432472525645398,-0.14911905188788419,-0.15935815724523716,-0.15953123624507634,-0.1597166776286723,-0.16071198937307005
Portfolio_18,-0.03990163677458176,-0.056799130925598254,-0.06941199171060349,-0.07183161796780999,-0.08099975910930714,-0.08128344032657799,-0.08201622390934683
Portfolio_19,-0.07634518468560661,-0.09183950126031278,-0.09863726083366993,-0.1022364116959635,-0.10457952006770975,-0.10698253743799863,-0.10676625631420916
Portfolio_20,-0.09174239911471706,-0.1456578379362066,-0.14079074820983337,-0.13956164108917976,-0.15273681626532068,-0.15571512984418304,-0.15980420669359086
