,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,-0.0808246791228705,-0.09769910205679917,-0.09990772421458696,-0.10291175821067623,-0.10331291087920125,-0.10350247087045764,-0.10717664424151017
Portfolio_02,-0.05592855483921422,-0.09853787682092202,-0.12678322975116094,-0.1279932348804211,-0.1279508051498846,-0.1275965594528209,-0.14652579221978798
Portfolio_03,-0.07851570561400115,-0.10085891600596533,-0.10129363274600214,-0.10134100967571612,-0.10182560474189525,-0.10200536426782293,-0.1015693953812598
Portfolio_04,-0.08763175241376381,-0.11568813864992304,-0.12793933209803574,-0.13290401482473768,-0.13312909788147884,-0.13263272135184476,-0.13288342694343871
Portfolio_05,0.030559329472014868,-0.04931439540530208,-0.05626071465540256,-0.0562021680538477,-0.056294961176451594,-0.05625315680472149,-0.056077180598565264
Portfolio_06,-0.019172546197662375,-0.04842310210432303,-0.05002744836507391,-0.05459112438077248,-0.05573537020412846,-0.055705583785626636,-0.05575476576925375
Portfolio_07,-0.0927237891872923,-0.12589140179745192,-0.14602499044851375,-0.15354413594892263,-0.15948487817255666,-0.16024961506548863,-0.16082269487761913
Portfolio_08,-0.1928318777757513,-0.21750034843331056,-0.22038242122368912,-0.22026153817037541,-0.22037629080407423,-0.2204675720661344,-0.22000396258478375
Portfolio_09,-0.3529001868155693,-0.43303597156064644,-0.4627024273251483,-0.4709300122958806,-0.46990768251715337,-0.4867659458010636,-0.4891976013376697
Portfolio_10,-0.3437966216058161,-0.39278783485377344,-0.42868906776111076,-0.4304215256109077,-0.43492755427882,-0.4368842990312008,-0.4367692939532701
Portfolio_11,-0.20258425511637793,-0.2205242686172003,-0.22202925934832438,-0.22414388024935103,-0.22517560962488475,-0.22400045290597972,-0.22279860574091323
Portfolio_12,-0.14829779326687723,-0.16500647108552008,-0.18133906182280485,-0.18808606197213054,-0.19216924009285938,-0.195620186614849,-0.19555125873546086
Portfolio_13,-0.006074033865930666,-0.032968706119079885,-0.04395003735527294,-0.04885246928602848,-0.05237471885221412,-0.05509280727599792,-0.057034379909019876
Portfolio_14,-0.17837606846647802,-0.23219112374130074,-0.23327759110673937,-0.24549727505326188,-0.24685046295886895,-0.2534523469106817,-0.253155567390385
Portfolio_15,-0.0622308170876528,-0.08556931583738905,-0.086629141936371,-0.08635901857665187,-0.08650931738729727,-0.08667442090586958,-0.08656396413984375
Portfolio_16,-0.19945587473419785,-0.25292092915468123,-0.2777203482160533,-0.28823854354335493,-0.2979461714930765,-0.29842196243492847,-0.29923934345374353
Portfolio_17,-0.09565526228679629,-0.14060628137231937,-0.14952458397553536,-0.16149972896913894,-0.1620441341648675,-0.16147920398206986,-0.16310398960701689
Portfolio_18,-0.046847708567430035,-0.06969897954811627,-0.07101645849896794,-0.0714500069010854,-0.07111733030642546,-0.07112077674990222,-0.07008281378253324
Portfolio_19,-0.08134589442891131,-0.09480426569728187,-0.10046689086328034,-0.10396708545268125,-0.10594942633036675,-0.10812187308826617,-0.10897233756976811
Portfolio_20,-0.1305898332856038,-0.082112254385935,-0.09123852287844485,-0.11261435897661431,-0.12149143878811275,-0.12139726061181522,-0.128140032023212
