,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,-0.028960717118693954,-0.0833281792744178,-0.08652494917206983,-0.08588160206399374,-0.08732165308526711,-0.08638989934518423,-0.08631507259768897
Portfolio_02,-0.015393914604857836,-0.04518336577932937,-0.07254278347490858,-0.0933365871130962,-0.11129088133182725,-0.11637175830209269,-0.11833825511706798
Portfolio_03,-0.0521275446296884,-0.0924863372353106,-0.09923573329427629,-0.10054907588263941,-0.10009685811687707,-0.09997997977109334,-0.11111508865009363
Portfolio_04,-0.06947038152385832,-0.09802555489661643,-0.10933066302998223,-0.11085348369311379,-0.10998193940266521,-0.11032388984688009,-0.1096733154358491
Portfolio_05,0.03140353583142105,-0.037071766868932016,-0.041246380897401666,-0.045486686669630544,-0.05822655044090492,-0.05896435895942978,-0.06009451758852753
Portfolio_06,-0.01737768569327658,-0.037374423340314704,-0.04073276849296579,-0.041228875454343006,-0.04730323964862179,-0.051641745985381605,-0.052944663642833234
Portfolio_07,-0.04604200101129651,-0.09515353140015964,-0.11594366655014679,-0.13076400937998411,-0.13866571793254548,-0.14544213528821692,-0.14704897072884135
Portfolio_08,-0.1802203666871379,-0.20737325580931695,-0.2168841986159273,-0.22085123614036828,-0.22367845041898024,-0.22289992028842007,-0.22218323994697037
Portfolio_09,-0.35441476958551993,-0.4103201925117096,-0.40915618355616196,-0.4123758723474766,-0.41192682711385614,-0.4136390300877482,-0.4126212385511191
Portfolio_10,-0.2997571410218582,-0.376338062741441,-0.3978891944086647,-0.42273254997466375,-0.42843051498666757,-0.43009106155281196,-0.4295436947630668
Portfolio_11,-0.14907709692512733,-0.24107321311109653,-0.2538641725274764,-0.2536351119667726,-0.2544106349330603,-0.2547239521442128,-0.2554026811940772
Portfolio_12,-0.13195102900522776,-0.14958265075278418,-0.14962593438740168,-0.14948328811815242,-0.14964445643490787,-0.14944252584699305,-0.15019865963653448
Portfolio_13,0.060629527190212855,0.01518809242402483,0.006847976836312132,0.006592387681837491,0.0062719487898937306,0.005939201508593587,0.00495657783427249
Portfolio_14,-0.1709191376203204,-0.21852268171508527,-0.22276430639352915,-0.23661837711890107,-0.2434427244928285,-0.24692229133900231,-0.24991517370662336
Portfolio_15,-0.045925648258345136,-0.07076446095128125,-0.07576383141304804,-0.08033215511067558,-0.08387463789699476,-0.08432327118872913,-0.08479893418841916
Portfolio_16,-0.10825812797631608,-0.20862915899617562,-0.2450780994358752,-0.24553232454876958,-0.24704880716994784,-0.2477961408262241,-0.24360154881081839
Portfolio_17,-0.021698213715467228,-0.11126880999192584,-0.13125900566940266,-0.14566634403102657,-0.1467091871749975,-0.1485571022391701,-0.15438430955860283
Portfolio_18,-0.027875065344737205,-0.05652407509498409,-0.06725012777936736,-0.06897314713904348,-0.07301858051962892,-0.07523623379554496,-0.07500130168804454
Portfolio_19,-0.06726778901082917,-0.08651081409556374,-0.09374932024524096,-0.09778757404960729,-0.09988655286658976,-0.10236547476206373,-0.1039888720110627
Portfolio_20,-0.11906933404222836,-0.18233150384466865,-0.1831186530866496,-0.19871416723023863,-0.20140973368044093,-0.2095327832733547,-0.21303450946503286
