,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,-0.023311155057962624,-0.0706138541833599,-0.0690236938123,-0.07122229073809089,-0.07029517774719066,-0.07048690060731852,-0.07117636850798692
Portfolio_02,-0.020047521936004935,-0.05509587588516807,-0.06610034901267378,-0.08251651840453739,-0.09362410363348547,-0.10294275920364096,-0.10500155410921942
Portfolio_03,-0.05395388660001643,-0.08324165129697249,-0.0893257853345945,-0.09367232224103103,-0.09672882668172017,-0.10199410683130719,-0.10853288851680398
Portfolio_04,-0.07436980360339719,-0.10737586670319334,-0.11535689230670784,-0.12276498897923904,-0.12519057582502627,-0.1267732990061493,-0.12648425892122614
Portfolio_05,0.034034130840977284,-0.03803933615899829,-0.04582154093921367,-0.06204965089626527,-0.06567360967333861,-0.06578428930300319,-0.06613300451023091
Portfolio_06,-0.0231113902036088,-0.04227043519362436,-0.04265209128657907,-0.04708046445946276,-0.05052490972374533,-0.052370303866391354,-0.05314243039472202
Portfolio_07,-0.0494426038035781,-0.0971193750995688,-0.11291804079932984,-0.12961826312937894,-0.1349587673950671,-0.14106720893090022,-0.14453867927274264
Portfolio_08,-0.18450063799729977,-0.2140610781708901,-0.2162216274710405,-0.21812509036463998,-0.22203005618072733,-0.22364303644994185,-0.22339620379949424
Portfolio_09,-0.3515935019832087,-0.398579699457194,-0.4331466581351474,-0.45463754958564045,-0.4569062850940809,-0.45831946371323995,-0.4575214745200135
Portfolio_10,-0.2929099268958046,-0.36099341131308815,-0.38396379797474506,-0.3982793153056094,-0.43365219120003173,-0.44187417094066556,-0.4434347947734658
Portfolio_11,-0.14410967523315696,-0.21926354490712133,-0.2407924426915561,-0.2508434176790913,-0.2526738697740251,-0.25682507623970297,-0.2629285742160359
Portfolio_12,-0.13243772400952364,-0.14826194624469846,-0.15701041147339348,-0.16648157345198708,-0.17058094315278374,-0.17285512235709458,-0.1747437228812811
Portfolio_13,0.059958045238315716,0.013365612564156222,-0.0088114280799259,-0.018499346174179806,-0.026943416348340448,-0.0322276631955022,-0.03719007018487267
Portfolio_14,-0.17676024355614706,-0.2293887653057059,-0.22977972451409498,-0.23142672113898724,-0.23023026372191366,-0.22963641339578167,-0.23026521940702896
Portfolio_15,-0.046300678049663806,-0.07232673178612406,-0.07927040171534047,-0.08346980203104216,-0.08548851884274747,-0.08831146015584812,-0.09517954351004553
Portfolio_16,-0.1658682107874022,-0.20993205444687624,-0.24559834478767192,-0.24621270742501297,-0.25772058931744407,-0.263537271218717,-0.2653774542925545
Portfolio_17,-0.035537061890616735,-0.11715089802958997,-0.12839411106675577,-0.13933493453579948,-0.1454579416607131,-0.14752939794661463,-0.14863521333607396
Portfolio_18,-0.026396924866589556,-0.05213255876614994,-0.0655852157620586,-0.06559720141524863,-0.06769034609118782,-0.07051707225450198,-0.07115307753860847
Portfolio_19,-0.06431347133196995,-0.07903096514563902,-0.08641423262899198,-0.0901051993262811,-0.09611464929245069,-0.10013738800979731,-0.1024618215721602
Portfolio_20,-0.11831151728428471,-0.1855669893939097,-0.198406141063286,-0.20416839050903024,-0.20770456470466558,-0.2104164975231932,-0.21069798946959167
