,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,0.42865648827882274,0.13656038716632118,0.13390150976886228,0.1365557836487465,0.1398979684733457,0.13318729920221226,0.13692816554689866
Portfolio_02,0.8823342283002701,0.28052905506547854,0.28980967672671987,0.28991102817225667,0.2904337635656909,0.285898720828063,0.2885661047188392
Portfolio_03,0.3901176492798915,0.08075286080661988,0.0827146041793123,0.08137145502036672,0.08670127318598841,0.08570934731842388,0.08198818073075584
Portfolio_04,0.35095077166167327,0.091754722717465,0.09158321271306157,0.09108848806811765,0.08679890106510861,0.09690173413518723,0.09032099711508725
Portfolio_05,0.6282893773580527,0.22636181950245882,0.22665000511435424,0.22791175166059924,0.23384864025289404,0.22843503731758596,0.2248094470777611
Portfolio_06,0.42257471156263615,0.13567191228853717,0.1300169033644793,0.1344841823797463,0.13280483309754987,0.13328281446866755,0.1359375915712539
Portfolio_07,0.6062773950862325,0.16790692109804214,0.17268128460752563,0.16543575175936287,0.17698363388195937,0.17200477867889358,0.17377663030416657
Portfolio_08,0.3834307103442393,0.04103957226166256,0.04135502638054154,0.045125889270170055,0.037780816286257075,0.04503951406544997,0.04222867299489602
Portfolio_09,0.868986973188286,0.10908607923768478,0.10255801256782938,0.1106995959856162,0.11266737424093533,0.11507643566715929,0.10293825658204696
Portfolio_10,2.9540284921642788,2.2048436607302935,2.167916765369204,2.139163757963656,2.1981591855749656,1.7750215627288395,1.7247959245659723
Portfolio_11,0.44613251644057694,0.041802465734823276,0.044348237245555866,0.04538585822993874,0.04513020634035541,0.047949765500294304,0.041820377556778345
Portfolio_12,0.2966570716731023,0.029330136474305993,0.032194509877707486,0.02817224650397844,0.028471480371595127,0.02966902792835175,0.030921880603008746
Portfolio_13,0.6002572712543406,0.2262305566705039,0.23146999914156544,0.2285699485099803,0.22207393733940126,0.22834587604739195,0.22630329485060238
Portfolio_14,1.6881340195163932,0.07016067260850098,0.06810167269104593,0.06195589115624719,0.06998457378087092,0.06020138303679471,0.06036150118879305
Portfolio_15,0.2580305442093214,0.0777674731087467,0.07743690863958791,0.07717854389941337,0.08124408338134334,0.07845999475220293,0.08040450950702821
Portfolio_16,0.8303039545533276,0.21218701743403517,0.21484535373433364,0.21541872422284258,0.22145293368473692,0.21318855097393594,0.20701362717371882
Portfolio_17,0.4713027950714936,0.13157175892802067,0.13243546040073675,0.1283026749672993,0.13399305501093442,0.13035001557166348,0.13440329006015672
Portfolio_18,0.35306430245741616,0.09730505595934034,0.09893346768106129,0.09804508836631749,0.09724991461908206,0.09486873500267179,0.1024824707949357
Portfolio_19,0.1919559598154249,0.028246379878007124,0.028253169849814734,0.025228715081089526,0.02524704498195947,0.028238907102010317,0.029336270228430435
Portfolio_20,0.38431874965164986,0.040295982439657214,0.04022804422033368,0.04104011498429093,0.03506698864229512,0.036960284155321765,0.0353804937777851
