,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,0.3462,0.436,0.447,0.4651,0.4764,0.4568,0.4576
Portfolio_02,0.1648,0.3061,0.5266,0.6075,0.6098,0.6053,0.615
Portfolio_03,0.2,0.2584,0.3815,0.4527,0.4889,0.6044,0.6208
Portfolio_04,0.144,0.306,0.4755,0.5628,0.5536,0.5582,0.5695
Portfolio_05,0.0214,0.0517,0.0524,0.0521,0.0508,0.0518,0.0512
Portfolio_06,0.0688,0.1206,0.123,0.1067,0.1049,0.1027,0.2079
Portfolio_07,0.1935,0.3426,0.5507,0.6592,0.6571,0.7227,0.0454
Portfolio_08,0.125,0.1804,0.203,0.2048,0.2032,0.2052,0.2022
Portfolio_09,0.1229,0.2336,0.286,0.3523,0.4181,0.428,0.4357
Portfolio_10,0.0959,0.1287,0.2339,0.2286,0.2659,0.2632,0.2832
Portfolio_11,0.0998,0.1356,0.1404,0.2593,0.2813,0.2751,0.3581
Portfolio_12,0.2303,0.4049,0.6184,0.6923,0.7515,0.7896,0.809
Portfolio_13,0.1732,0.2091,0.463,0.5032,0.4765,0.5611,0.6218
Portfolio_14,0.0719,0.1271,0.1229,0.1659,0.1605,0.1566,0.1622
Portfolio_15,0.129,0.2969,0.4042,0.4633,0.4785,0.4909,0.4791
Portfolio_16,0.1994,0.3474,0.4583,0.5154,0.5555,0.5518,0.5583
Portfolio_17,0.1191,0.3082,0.3806,0.519,0.5076,0.5313,0.5711
Portfolio_18,0.0872,0.117,0.1787,0.195,0.2303,0.2196,0.249
Portfolio_19,0.085,0.1683,0.2849,0.4093,0.5176,0.5352,0.5331
Portfolio_20,0.0231,0.0687,0.0246,0.023,0.0893,0.0882,0.1027
