,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,0.3837,0.4663,0.4844,0.6067,0.5911,0.5928,0.6885
Portfolio_02,0.1665,0.3649,0.5178,0.5238,0.5213,0.5114,0.6969
Portfolio_03,0.2063,0.3558,0.3489,0.3416,0.347,0.3434,0.3415
Portfolio_04,0.1721,0.3677,0.4557,0.5525,0.5453,0.5446,0.5472
Portfolio_05,0.0253,0.0659,0.0956,0.0938,0.0921,0.0962,0.0936
Portfolio_06,0.0703,0.1074,0.0959,0.1051,0.1017,0.1021,0.101
Portfolio_07,0.2021,0.4103,0.5579,0.644,0.712,0.7203,0.721
Portfolio_08,0.1119,0.1767,0.1885,0.1916,0.1943,0.1938,0.1954
Portfolio_09,0.122,0.2315,0.2891,0.3046,0.295,0.4232,0.4247
Portfolio_10,0.1029,0.1326,0.2352,0.2429,0.2569,0.2731,0.2717
Portfolio_11,0.1177,0.1552,0.1522,0.1563,0.1603,0.1561,0.1519
Portfolio_12,0.2387,0.4069,0.6127,0.7168,0.7605,0.7961,0.7981
Portfolio_13,0.2006,0.3666,0.4438,0.4806,0.5131,0.5861,0.6431
Portfolio_14,0.0811,0.1204,0.1281,0.1517,0.1583,0.2311,0.2371
Portfolio_15,0.1538,0.3048,0.3249,0.3185,0.3224,0.3238,0.3228
Portfolio_16,0.2103,0.3564,0.4565,0.4973,0.534,0.541,0.5428
Portfolio_17,0.1372,0.3568,0.4995,0.5625,0.5691,0.5602,0.5806
Portfolio_18,0.112,0.2226,0.2583,0.2495,0.2489,0.2447,0.247
Portfolio_19,0.1045,0.2005,0.3231,0.4615,0.5676,0.5855,0.6279
Portfolio_20,0.0685,0.0146,0.038,0.0294,0.0194,0.0188,0.0151
