,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,0.2206,0.4001,0.4396,0.442,0.4453,0.4411,0.4328
Portfolio_02,0.0599,0.1099,0.256,0.3816,0.5052,0.5263,0.5777
Portfolio_03,0.0918,0.4238,0.5203,0.5252,0.5227,0.5252,0.6735
Portfolio_04,0.1445,0.2571,0.376,0.3853,0.3836,0.3839,0.3833
Portfolio_05,0.0419,0.0239,0.0087,0.0069,0.0147,0.0203,0.0178
Portfolio_06,0.0269,0.0162,0.0264,0.0301,0.0347,0.2072,0.2026
Portfolio_07,0.0871,0.2498,0.3129,0.4038,0.5091,0.5298,0.5776
Portfolio_08,0.0989,0.1487,0.2124,0.2487,0.2506,0.2456,0.2556
Portfolio_09,0.1665,0.2538,0.2273,0.2258,0.2159,0.2136,0.2071
Portfolio_10,0.0673,0.0517,0.0913,0.2024,0.1775,0.179,0.1796
Portfolio_11,0.0544,0.1957,0.2348,0.2104,0.211,0.2047,0.2123
Portfolio_12,0.1917,0.2741,0.2543,0.2531,0.2514,0.2543,0.2593
Portfolio_13,0.0472,0.0725,0.1188,0.118,0.1272,0.1206,0.1225
Portfolio_14,0.0397,0.0497,0.0502,0.0554,0.0742,0.075,0.0743
Portfolio_15,0.1068,0.1969,0.2582,0.2478,0.2832,0.3234,0.337
Portfolio_16,0.0617,0.1591,0.1856,0.1812,0.1792,0.1843,0.1779
Portfolio_17,0.0314,0.1272,0.2683,0.3926,0.3957,0.4938,0.4778
Portfolio_18,0.063,0.2212,0.2649,0.2986,0.3923,0.431,0.4422
Portfolio_19,0.1302,0.1826,0.2213,0.3636,0.4878,0.6017,0.6211
Portfolio_20,0.0406,0.0245,0.0048,0.0784,0.1958,0.2351,0.3161
