,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,0.1888,0.3228,0.3431,0.3558,0.3448,0.3518,0.3519
Portfolio_02,0.0618,0.066,0.062,0.2277,0.2518,0.2923,0.3073
Portfolio_03,0.0892,0.2247,0.3093,0.3831,0.4204,0.4946,0.6202
Portfolio_04,0.1591,0.3147,0.4585,0.5849,0.5495,0.5952,0.591
Portfolio_05,0.0329,0.0249,0.0452,0.0854,0.1191,0.1229,0.1238
Portfolio_06,0.0618,0.0652,0.0605,0.0616,0.0882,0.0918,0.0895
Portfolio_07,0.0903,0.2894,0.3565,0.4477,0.4842,0.5608,0.5771
Portfolio_08,0.1393,0.2245,0.2722,0.2458,0.3497,0.3408,0.3488
Portfolio_09,0.1869,0.2763,0.379,0.4579,0.4493,0.4469,0.4447
Portfolio_10,0.0794,0.1086,0.2128,0.2781,0.3427,0.3951,0.4174
Portfolio_11,0.0468,0.0874,0.1311,0.2696,0.1517,0.3479,0.353
Portfolio_12,0.1843,0.2495,0.3114,0.4143,0.4368,0.5081,0.5253
Portfolio_13,0.048,0.062,0.1202,0.1717,0.2696,0.3258,0.3753
Portfolio_14,0.0525,0.0563,0.0554,0.0576,0.0557,0.0562,0.0545
Portfolio_15,0.1036,0.1832,0.2013,0.2532,0.2935,0.337,0.4772
Portfolio_16,0.1302,0.1598,0.1323,0.1258,0.1513,0.1547,0.1414
Portfolio_17,0.0332,0.1581,0.212,0.249,0.356,0.4074,0.4082
Portfolio_18,0.0605,0.1518,0.2816,0.2859,0.2981,0.3192,0.29
Portfolio_19,0.1236,0.2031,0.2162,0.2407,0.3945,0.5247,0.5848
Portfolio_20,0.0727,0.1914,0.2736,0.2771,0.3815,0.423,0.4397
