,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,0.0198,0.0514,0.0504,0.0479,0.0504,0.049,0.0492
Portfolio_02,0.0063,0.0123,0.0128,0.0133,0.0142,0.0121,0.0097
Portfolio_03,0.0065,0.013,0.0109,0.0126,0.0117,0.0129,0.0123
Portfolio_04,0.0071,0.0127,0.0127,0.0111,0.0124,0.014,0.0137
Portfolio_05,0.0051,0.0119,0.0123,0.0137,0.0119,0.0121,0.0129
Portfolio_06,0.0052,0.0127,0.0125,0.0131,0.0135,0.0134,0.0131
Portfolio_07,0.0067,0.0114,0.0132,0.0121,0.0138,0.0132,0.0121
Portfolio_08,0.0051,0.0128,0.0118,0.0101,0.013,0.0116,0.0122
Portfolio_09,0.0061,0.0129,0.0132,0.0159,0.0147,0.0126,0.0149
Portfolio_10,0.0085,0.0102,0.009,0.0102,0.0105,0.0024,0.0029
Portfolio_11,0.0057,0.0131,0.0103,0.0132,0.0109,0.012,0.0134
Portfolio_12,0.0066,0.0128,0.0119,0.0125,0.0142,0.0146,0.0124
Portfolio_13,0.0062,0.0128,0.0115,0.014,0.012,0.0134,0.0114
Portfolio_14,0.0083,0.0106,0.0126,0.0116,0.0125,0.0122,0.0102
Portfolio_15,0.0071,0.012,0.0109,0.0122,0.0122,0.0117,0.0123
Portfolio_16,0.0062,0.0128,0.0122,0.0135,0.0126,0.0118,0.0132
Portfolio_17,0.0065,0.012,0.0125,0.0136,0.0119,0.0122,0.0123
Portfolio_18,0.0075,0.011,0.0109,0.013,0.0132,0.0154,0.0106
Portfolio_19,0.0053,0.0101,0.0118,0.0107,0.013,0.0134,0.0129
Portfolio_20,0.0062,0.0122,0.0118,0.0108,0.0113,0.0132,0.0126
