backend,mixer,metric,p,mean,std
statevector,standard,1_minus_r,1,0.7959419389240672,0.036834876988733244
statevector,standard,1_minus_r,2,0.6337739277182719,0.07442860695972936
statevector,standard,1_minus_r,3,0.6346626753699223,0.07403076668980006
statevector,standard,1_minus_r,4,0.6334788291744283,0.07277926241238233
statevector,standard,1_minus_r,5,0.6337340107953067,0.0734291674751366
statevector,standard,1_minus_r,6,0.6323547572868855,0.07274238529746174
statevector,standard,1_minus_r,7,0.6334029886584447,0.0707054177336656
statevector,standard,p_opt,1,0.0070999999999999995,0.0030566321335744676
statevector,standard,p_opt,2,0.014035,0.008620920774488073
statevector,standard,p_opt,3,0.013759999999999998,0.008466132529083162
statevector,standard,p_opt,4,0.014255,0.007845283615013545
statevector,standard,p_opt,5,0.014495,0.008309119989505507
statevector,standard,p_opt,6,0.01416,0.008368058317196411
statevector,standard,p_opt,7,0.013715,0.008476572125570571
statevector,standard,cost,1,0.6717901990933715,0.6150351987765856
statevector,standard,cost,2,0.22147022450552528,0.4605999090035034
statevector,standard,cost,3,0.22037169121368172,0.45272385130165244
statevector,standard,cost,4,0.21855227449250186,0.4466383723565738
statevector,standard,cost,5,0.22279953038886352,0.459229530660353
statevector,standard,cost,6,0.20093948922405608,0.36829947906452987
statevector,standard,cost,7,0.19753588434744576,0.3578106297317918
statevector,XY ring,1_minus_r,1,0.221571771753403,0.05303825426797718
statevector,XY ring,1_minus_r,2,0.1361870995069492,0.04369543888965565
statevector,XY ring,1_minus_r,3,0.112702433579971,0.03421096275442676
statevector,XY ring,1_minus_r,4,0.09723004384039906,0.02908281146929977
statevector,XY ring,1_minus_r,5,0.08664180978750309,0.026443552467973912
statevector,XY ring,1_minus_r,6,0.07918123882293504,0.023480107742067234
statevector,XY ring,1_minus_r,7,0.07358150766735636,0.021186116124308124
statevector,XY ring,p_opt,1,0.09724499999999998,0.05075689583692052
statevector,XY ring,p_opt,2,0.170985,0.09012417142476262
statevector,XY ring,p_opt,3,0.22171,0.11740919853231263
statevector,XY ring,p_opt,4,0.27364499999999997,0.1349369092390959
statevector,XY ring,p_opt,5,0.3094199999999999,0.13408567261269938
statevector,XY ring,p_opt,6,0.35480999999999996,0.14973246775499294
statevector,XY ring,p_opt,7,0.3760549999999999,0.16613393234074728
statevector,XY ring,cost,1,-0.09446418795054715,0.10035071294334
statevector,XY ring,cost,2,-0.13835397124618581,0.1050228608746638
statevector,XY ring,cost,3,-0.15072964654277032,0.11050508706675392
statevector,XY ring,cost,4,-0.15880528738952776,0.11241902242527224
statevector,XY ring,cost,5,-0.16450948030303425,0.11558211166824375
statevector,XY ring,cost,6,-0.16786244505746561,0.11590519356073704
statevector,XY ring,cost,7,-0.16989971718670793,0.11534939359903326
statevector,XY ring parity,1_minus_r,1,0.22760731589242775,0.05633988613832883
statevector,XY ring parity,1_minus_r,2,0.13364568110392122,0.04512972386099962
statevector,XY ring parity,1_minus_r,3,0.11255735689310394,0.040054846982563584
statevector,XY ring parity,1_minus_r,4,0.10105923660639733,0.04003150415510348
statevector,XY ring parity,1_minus_r,5,0.09360476289563915,0.042006937977198344
statevector,XY ring parity,1_minus_r,6,0.08959425417440636,0.04371371588028295
statevector,XY ring parity,1_minus_r,7,0.08579117017443064,0.04428521239541294
statevector,XY ring parity,p_opt,1,0.088605,0.054277983335787254
statevector,XY ring parity,p_opt,2,0.17192500000000005,0.11476580882388272
statevector,XY ring parity,p_opt,3,0.21660500000000002,0.13509492394238948
statevector,XY ring parity,p_opt,4,0.252545,0.14295327024940702
statevector,XY ring parity,p_opt,5,0.28285499999999997,0.15870638763137418
statevector,XY ring parity,p_opt,6,0.30979500000000004,0.16576216840702826
statevector,XY ring parity,p_opt,7,0.32740499999999995,0.18448941832798976
statevector,XY ring parity,cost,1,-0.09068864503765764,0.10044543685971083
statevector,XY ring parity,cost,2,-0.13963369729935443,0.10847371685476
statevector,XY ring parity,cost,3,-0.1502555997797092,0.10930778372726398
statevector,XY ring parity,cost,4,-0.15671050401753295,0.1118470353299078
statevector,XY ring parity,cost,5,-0.16050479994288577,0.11110882085603051
statevector,XY ring parity,cost,6,-0.16243521766669805,0.11121487250798423
statevector,XY ring parity,cost,7,-0.16376237347235006,0.1104753563387196
statevector,XY full,1_minus_r,1,0.1642411772666602,0.031356958984344284
statevector,XY full,1_minus_r,2,0.10330864086542717,0.047455973267538
statevector,XY full,1_minus_r,3,0.08394334733918866,0.04514264693365943
statevector,XY full,1_minus_r,4,0.0739197379531081,0.04117445203521858
statevector,XY full,1_minus_r,5,0.06970549807594681,0.03971864297232439
statevector,XY full,1_minus_r,6,0.067072974034874,0.04090526752807796
statevector,XY full,1_minus_r,7,0.06419665088276791,0.040184948577442946
statevector,XY full,p_opt,1,0.14937499999999998,0.07674576779862195
statevector,XY full,p_opt,2,0.25919499999999995,0.12866740253459694
statevector,XY full,p_opt,3,0.32530500000000007,0.16847090394189734
statevector,XY full,p_opt,4,0.36153500000000005,0.20084738304244842
statevector,XY full,p_opt,5,0.37551499999999993,0.2150679922140903
statevector,XY full,p_opt,6,0.392215,0.2179460627655384
statevector,XY full,p_opt,7,0.41239499999999996,0.2373593298671868
statevector,XY full,cost,1,-0.1212611962603091,0.09818233500608871
statevector,XY full,cost,2,-0.15280698416236202,0.10678318835818874
statevector,XY full,cost,3,-0.16386014422952594,0.11359844688439631
statevector,XY full,cost,4,-0.16909044755162783,0.11441867164317517
statevector,XY full,cost,5,-0.17122865029023088,0.11486344167432502
statevector,XY full,cost,6,-0.17287222899887705,0.1173675096892839
statevector,XY full,cost,7,-0.17457115251295274,0.11706769594166906
statevector,QAMPA,1_minus_r,1,0.18185630136765588,0.03822339426251065
statevector,QAMPA,1_minus_r,2,0.11036040899267847,0.03224222969944926
