,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,0.2379974392221088,0.12875477126051393,0.08371490019501915,0.06621261868669115,0.05300243446786157,0.04720110954319523,0.042061593006851195
Portfolio_02,0.15556737089866812,0.08647486873662513,0.04825531907206426,0.048642009844948264,0.04950764315548917,0.023819734662518743,0.024150829746962033
Portfolio_03,0.2241684576798454,0.06287692050423044,0.04414171838363112,0.043686464642425316,0.026384096425800085,0.021634963449679856,0.0212379639418645
Portfolio_04,0.2845511805126074,0.11269903494982292,0.08069853034747321,0.06701648540794491,0.055529074316535754,0.047226405448134945,0.04175768311449046
Portfolio_05,0.24920614247796002,0.10570694312202822,0.06614996080506419,0.05221293460269172,0.040205891227254265,0.029234833938136195,0.025301988066935843
Portfolio_06,0.27089227893174095,0.10722520406612579,0.06461873878322455,0.050007468321233484,0.04062904391470601,0.04061778429808227,0.04101389775845832
Portfolio_07,0.34622138940651415,0.07975020169149827,0.051890600485718585,0.053302031771912395,0.05372080025137438,0.02343455818996465,0.023508579526289264
Portfolio_08,0.3275209320903888,0.09403757023166348,0.0748197446450164,0.07394786588815061,0.04888224527233831,0.04829412036683045,0.04710906746554688
Portfolio_09,0.24888041063477218,0.08237749820086326,0.08157814330983226,0.04178102898202429,0.0342580560538428,0.025532702991586054,0.02661039134411658
Portfolio_10,0.2914911638526856,0.09184706902585249,0.06801531111438719,0.057565975403989555,0.048921124632895996,0.029820376477957877,0.025605631480313584
