,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,0.24598834908383005,0.11201781931560106,0.11354493236765784,0.08255774928972592,0.08167766552365185,0.044741042625944694,0.0412205890393863
Portfolio_02,0.15513926406399747,0.08110416357245287,0.04518247707495582,0.04508303605996411,0.04717297475302129,0.020991395479350805,0.021990945655853578
Portfolio_03,0.23171759710062678,0.06036716615767779,0.04330044140264744,0.043164205705763736,0.025971280494881177,0.0224789107130412,0.022040106345954658
Portfolio_04,0.28892667552053297,0.11136716275753777,0.08030366682021872,0.06490956261402814,0.057578245268132044,0.048404696290904825,0.04227929907429495
Portfolio_05,0.2606521815014967,0.08093660338441466,0.06014427628217478,0.04546392230601626,0.03360200014322656,0.027823711394355244,0.027078710131420936
Portfolio_06,0.2675818104205403,0.09661720577461819,0.0682531788950691,0.05131051264773434,0.04292651026809091,0.036278823031632434,0.030895745610236114
Portfolio_07,0.34504956504692363,0.07509112876446766,0.04943265704176658,0.04916432627708334,0.050390548608956864,0.024452151024344615,0.024206190795131866
Portfolio_08,0.33585878606404473,0.09527300864930699,0.07484602615802827,0.07332896007473633,0.07393491352805581,0.03820260376514151,0.034064493124760564
Portfolio_09,0.26246535957267203,0.07787333335352176,0.07719552158726384,0.04021626614864693,0.033621212640271736,0.027173014557625885,0.026271889367958545
Portfolio_10,0.2966687351130485,0.08743319683641682,0.06970851785534204,0.0555838991068488,0.0466808982893514,0.03164046307699908,0.027633785504122654
