,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,0.27102486979523277,0.17532305185946206,0.1468192187267413,0.12925740288732823,0.11722126529614141,0.10945616785935908,0.10895144390332245
Portfolio_02,0.27884136902670753,0.09549400114508844,0.08859242505100973,0.07334219157576183,0.054147392090373114,0.04520884888824761,0.0456953318187624
Portfolio_03,0.15383695004619768,0.1138078907837371,0.08922332140190792,0.06786542762411796,0.05452902453933961,0.05023279164711569,0.04210831363336043
Portfolio_04,0.22916291481929085,0.15828274443730872,0.12158444821456216,0.10815936614140365,0.10313439700952198,0.09227717300765059,0.08165511847967344
Portfolio_05,0.18199081712343457,0.13365331253376278,0.11088462102849006,0.07873936712615592,0.06979252017383386,0.06569920650515881,0.05665333195756472
Portfolio_06,0.2925567608213029,0.21869496136604627,0.17310562248248895,0.15703785755430277,0.13567224651789866,0.11391878702215164,0.1057211623933858
Portfolio_07,0.37528592579733433,0.13931213076521343,0.12081501418340124,0.11336752475165646,0.09327195419700263,0.0894629630420739,0.0851869247981627
Portfolio_08,0.3596945471640143,0.14305845772739423,0.14278296533293067,0.13296859528691662,0.13369409388212972,0.10382784479910379,0.10276595336953154
Portfolio_09,0.2624593294717107,0.18071347511129654,0.12701332630191808,0.10026438852469133,0.08740074606329484,0.07799337268310014,0.07245848027714608
Portfolio_10,0.21178071145561816,0.1484913610106291,0.11398653380024526,0.09991694463473644,0.08718769217454825,0.07873833930533303,0.07289618816259713
