,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,0.2744222029707709,0.18285825349274054,0.14506378858549074,0.12653224765535587,0.11704032586115676,0.11128883363611475,0.10820033386504913
Portfolio_02,0.28428086252455564,0.0976728257333721,0.08888639940826026,0.07236148089410199,0.05130660993273928,0.05061744311065686,0.05035739310083265
Portfolio_03,0.15495675027310185,0.11279657726277903,0.0861093311099912,0.058955261252856106,0.05140026651993479,0.045910465175948545,0.0387263157431903
Portfolio_04,0.23674771793553628,0.19441799183992625,0.15075358334746836,0.13141064589630558,0.1202480217162929,0.10976043461954843,0.09522800443451718
Portfolio_05,0.17394945395140426,0.13083408058868817,0.11076736193341152,0.0917986226141797,0.0802015722371292,0.0711063995112895,0.0657990748366083
Portfolio_06,0.2817832942251649,0.19542964791057127,0.1497022944217331,0.12768220794775076,0.11639178866274247,0.10478757969563213,0.09639076512846678
Portfolio_07,0.37844547531497463,0.15093068880867266,0.13169643887159532,0.1233285381846646,0.1126689280521691,0.11012412615856004,0.09375943862158032
Portfolio_08,0.36525926691149946,0.1412238529136911,0.12940977222582406,0.11394209249832266,0.10148614680307488,0.09198584502017737,0.09223245209670483
Portfolio_09,0.25910573158755035,0.1872364379918514,0.15259181671849975,0.11843158351573257,0.09389353549096935,0.08386779082771356,0.07485091115617948
Portfolio_10,0.21211553808866423,0.15920036707873642,0.13792920583292156,0.11982602040119594,0.10875053313035987,0.09568426526140872,0.08868130439954969
