,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,0.8755608007735176,0.7220643297444046,0.5997610988513562,0.42617345897950176,0.42399233217558463,0.4256381408500247,0.42267153685286607
Portfolio_02,0.7579872827253709,0.6404070487947087,0.4852729764025392,0.2729924192986495,0.2680961254037547,0.27086529282634353,0.27229974252996536
Portfolio_03,0.7528172906970138,0.6347601136090417,0.4932673155192222,0.2753991043968047,0.27134726647889174,0.27261681958622896,0.2705578502863112
Portfolio_04,0.8268320516030516,0.6938577879659316,0.6313880342275195,0.37776448160527365,0.37916712155787247,0.3783796900689872,0.37831510417025394
Portfolio_05,0.8298528978088532,0.6822461910201647,0.5526379696209094,0.34264699752125793,0.346247708192605,0.34570039136741404,0.3444399692896898
Portfolio_06,0.885192509462244,0.7200706271386443,0.7240938728808763,0.4281956719135138,0.4286168827231214,0.42711376041719706,0.42784383914289126
Portfolio_07,0.7951513010100419,0.6655210091069841,0.5231910578872104,0.31536779638590506,0.3102720709144232,0.31224627635276614,0.31073948592243406
Portfolio_08,0.8137551857419412,0.6834540478380939,0.5495577109732674,0.3481983840810947,0.34964482224525395,0.3502384872174369,0.3504656395176391
Portfolio_09,0.7954797986704149,0.6749698494429299,0.6778152230237161,0.6715667897635547,0.33877416246692293,0.3338333229820938,0.33791766272143986
Portfolio_10,0.7710387055924831,0.6677770358988473,0.5089669377844526,0.31604772829848704,0.30777086620615113,0.3056334733103888,0.3023914205349463
