,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,0.0155,0.0923,0.1618,0.2345,0.2907,0.3052,0.3479
Portfolio_02,0.0059,0.0388,0.0816,0.0788,0.0771,0.1615,0.1602
Portfolio_03,0.0107,0.0494,0.0565,0.0569,0.0979,0.1031,0.1017
Portfolio_04,0.0062,0.0388,0.0858,0.1353,0.1615,0.1787,0.2379
Portfolio_05,0.0108,0.0848,0.1439,0.2058,0.2864,0.3388,0.3457
Portfolio_06,0.0343,0.1238,0.2054,0.2547,0.2694,0.2753,0.2682
Portfolio_07,0.0087,0.1053,0.1715,0.1613,0.1732,0.2716,0.2775
Portfolio_08,0.0023,0.0548,0.1004,0.0984,0.1367,0.1489,0.1412
Portfolio_09,0.0122,0.063,0.0686,0.1189,0.1549,0.1577,0.1574
Portfolio_10,0.0114,0.0865,0.1461,0.2691,0.3411,0.3913,0.4621
