,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,0.015,0.136,0.1355,0.1758,0.18,0.3546,0.3706
Portfolio_02,0.0059,0.0429,0.1081,0.1042,0.1044,0.2278,0.2304
Portfolio_03,0.0097,0.0496,0.0585,0.0603,0.1038,0.1072,0.1097
Portfolio_04,0.0055,0.0369,0.0796,0.1231,0.1438,0.1898,0.2297
Portfolio_05,0.0118,0.1314,0.1713,0.2385,0.3441,0.38,0.3835
Portfolio_06,0.0392,0.167,0.2458,0.3339,0.3595,0.4643,0.4772
Portfolio_07,0.0087,0.0884,0.1478,0.1385,0.1465,0.2697,0.2651
Portfolio_08,0.0034,0.0461,0.0813,0.0822,0.0811,0.2009,0.2447
Portfolio_09,0.0127,0.0863,0.0878,0.1787,0.206,0.223,0.2291
Portfolio_10,0.0115,0.0688,0.1202,0.236,0.303,0.3519,0.4055
