,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,0.0057,0.0683,0.1192,0.1603,0.1779,0.1763,0.1851
Portfolio_02,0.0108,0.0362,0.0999,0.0317,0.1177,0.1645,0.1626
Portfolio_03,0.0193,0.0213,0.0159,0.053,0.0686,0.0989,0.1592
Portfolio_04,0.0113,0.0353,0.0591,0.0707,0.0929,0.157,0.2047
Portfolio_05,0.0091,0.0084,0.0061,0.0575,0.0412,0.0563,0.0646
Portfolio_06,0.0203,0.0565,0.117,0.1304,0.1174,0.2856,0.294
Portfolio_07,0.0027,0.0112,0.0105,0.0241,0.0955,0.1097,0.1206
Portfolio_08,0.0011,0.0075,0.0074,0.0088,0.0081,0.0633,0.0661
Portfolio_09,0.0075,0.0164,0.0912,0.1529,0.1671,0.2254,0.2124
Portfolio_10,0.0037,0.0558,0.1055,0.1004,0.1234,0.1054,0.1125
