,p=1,p=2,p=3,p=4,p=5,p=6,p=7
Portfolio_01,0.0062,0.0461,0.115,0.1674,0.182,0.1938,0.1981
Portfolio_02,0.0079,0.0166,0.0387,0.0678,0.0997,0.1035,0.101
Portfolio_03,0.0204,0.0212,0.0395,0.0921,0.1056,0.1754,0.2416
Portfolio_04,0.0083,0.0252,0.0226,0.0126,0.0112,0.0365,0.0644
Portfolio_05,0.0102,0.0107,0.0042,0.0049,0.0113,0.0188,0.0248
Portfolio_06,0.0211,0.0547,0.1284,0.1859,0.2248,0.2566,0.3227
Portfolio_07,0.001,0.0054,0.0049,0.0084,0.0084,0.0095,0.0306
Portfolio_08,0.0014,0.0124,0.0144,0.0203,0.0384,0.0673,0.0639
Portfolio_09,0.0053,0.012,0.0358,0.0722,0.1266,0.154,0.1496
Portfolio_10,0.0037,0.0218,0.0411,0.0576,0.0602,0.0691,0.0847
