mixer,p,eta,r
standard,1,0.0,0.2383662950371579
standard,1,0.001,0.22179870901453408
standard,1,0.002,0.20577262975400815
standard,1,0.003,0.19846217695729812
standard,1,0.004,0.1904297611937482
standard,1,0.005,0.18527777440550613
standard,1,0.006,0.18025508307824828
standard,1,0.007,0.1649710926097524
standard,1,0.008,0.16105830510048272
standard,1,0.009,0.15588734934781054
standard,1,0.01,0.14885857428003144
standard,2,0.0,0.30982859666752005
standard,2,0.001,0.2873457791519301
standard,2,0.002,0.26941927302489016
standard,2,0.003,0.2522189718336045
standard,2,0.004,0.23360708810598288
standard,2,0.005,0.22016441375882767
standard,2,0.006,0.20175253807080165
standard,2,0.007,0.19686158589596983
standard,2,0.008,0.18117413124733384
standard,2,0.009,0.1703935053540106
standard,2,0.01,0.16310608683147765
standard,3,0.0,0.40945030521989256
standard,3,0.001,0.3681556013256612
standard,3,0.002,0.3293254820126212
standard,3,0.003,0.31641267226452946
standard,3,0.004,0.27227944790731445
standard,3,0.005,0.2541637044789119
standard,3,0.006,0.22735344345725975
standard,3,0.007,0.2141471652745972
standard,3,0.008,0.19443793173243834
standard,3,0.009,0.17770749828392335
standard,3,0.01,0.165183508600577
standard,4,0.0,0.5578195713506287
standard,4,0.001,0.4635734549092919
standard,4,0.002,0.3873057376896912
standard,4,0.003,0.33517182936782974
standard,4,0.004,0.29055388732222
standard,4,0.005,0.24788835321529912
standard,4,0.006,0.21736929740199082
standard,4,0.007,0.19815003619631666
standard,4,0.008,0.17084727901764563
standard,4,0.009,0.15291451178618967
standard,4,0.01,0.1393067588566898
standard,5,0.0,0.6170938767392827
standard,5,0.001,0.47614938590314454
standard,5,0.002,0.400742319311047
standard,5,0.003,0.31564150447898753
standard,5,0.004,0.2633448936605563
standard,5,0.005,0.21651101614306753
standard,5,0.006,0.18448537993913774
standard,5,0.007,0.1598889226642875
standard,5,0.008,0.1421733455702732
standard,5,0.009,0.13015251645068895
standard,5,0.01,0.11639838718560902
standard,6,0.0,0.626783806458397
standard,6,0.001,0.47484612758328887
standard,6,0.002,0.3588202728826855
standard,6,0.003,0.27847192142443844
standard,6,0.004,0.2311260695964294
standard,6,0.005,0.19092089830881578
standard,6,0.006,0.15241916599437286
standard,6,0.007,0.13138999200201437
standard,6,0.008,0.11868752154076603
standard,6,0.009,0.10692575076985154
standard,6,0.01,0.09398073406280494
standard,7,0.0,0.6373211249311032
standard,7,0.001,0.44506964329736637
standard,7,0.002,0.32097496454688607
standard,7,0.003,0.24246537651011932
standard,7,0.004,0.19275801948160612
standard,7,0.005,0.15572996528184962
standard,7,0.006,0.13051414053098115
standard,7,0.007,0.11622628934451272
standard,7,0.008,0.10311627243534921
standard,7,0.009,0.08811019107898384
standard,7,0.01,0.08473019049157259
XY ring,1,0.0,0.6868106619355325
XY ring,1,0.001,0.45823124664156456
XY ring,1,0.002,0.3194846917326525
XY ring,1,0.003,0.2354466021391397
XY ring,1,0.004,0.18460762132730452
XY ring,1,0.005,0.14351993506628738
XY ring,1,0.006,0.11863942105055696
XY ring,1,0.007,0.10530637111758977
XY ring,1,0.008,0.08939843689326542
XY ring,1,0.009,0.07997116630509558
XY ring,1,0.01,0.07790926643946904
XY ring,2,0.0,0.8172231818736908
XY ring,2,0.001,0.48935446096848356
XY ring,2,0.002,0.3140905786603493
XY ring,2,0.003,0.2187153459847879
XY ring,2,0.004,0.15726096888615346
XY ring,2,0.005,0.12370406034815322
XY ring,2,0.006,0.10476357090140626
XY ring,2,0.007,0.08983162832467016
XY ring,2,0.008,0.08076086075709012
XY ring,2,0.009,0.07564670421220869
XY ring,2,0.01,0.06729426355964599
XY ring,3,0.0,0.859119482710395
XY ring,3,0.001,0.4498055211968278
XY ring,3,0.002,0.2676280777868885
XY ring,3,0.003,0.18011127811884844
XY ring,3,0.004,0.13240258288396883
XY ring,3,0.005,0.10897694357250086
XY ring,3,0.006,0.0899222712364934
XY ring,3,0.007,0.07960091692792849
XY ring,3,0.008,0.07027736938865956
XY ring,3,0.009,0.06850344348964608
XY ring,3,0.01,0.06596503293464523
XY ring,4,0.0,0.8806985564674172
XY ring,4,0.001,0.42873332561466515
XY ring,4,0.002,0.2352257238378539
XY ring,4,0.003,0.15348317726508276
XY ring,4,0.004,0.11363913336724281
XY ring,4,0.005,0.0941920112810528
XY ring,4,0.006,0.08248474059878112
XY ring,4,0.007,0.07288325309326357
XY ring,4,0.008,0.07071741445226415
XY ring,4,0.009,0.06566661280249872
XY ring,4,0.01,0.06300061598226113
XY ring,5,0.0,0.9047534390568572
XY ring,5,0.001,0.38273129500402014
XY ring,5,0.002,0.20707142797773992
XY ring,5,0.003,0.1356671347357411
XY ring,5,0.004,0.10133074147358653
XY ring,5,0.005,0.08870137066633087
XY ring,5,0.006,0.07824354132025439
XY ring,5,0.007,0.07114389491788896
XY ring,5,0.008,0.06148599934451
XY ring,5,0.009,0.06325415544467715
XY ring,5,0.01,0.05997978298822915
XY ring,6,0.0,0.9130246382556357
XY ring,6,0.001,0.36240320435896045
XY ring,6,0.002,0.17740159042166878
XY ring,6,0.003,0.1192048660627983
XY ring,6,0.004,0.0981259088210987
XY ring,6,0.005,0.07653754327669243
XY ring,6,0.006,0.07128487376847736
XY ring,6,0.007,0.06667939630881155
XY ring,6,0.008,0.06418970194024433
XY ring,6,0.009,0.058833523822954106
XY ring,6,0.01,0.06101750861113756
XY ring,7,0.0,0.923114584526005
XY ring,7,0.001,0.330462718404761
XY ring,7,0.002,0.16558272007299654
XY ring,7,0.003,0.1096219092479357
XY ring,7,0.004,0.0910977217698098
XY ring,7,0.005,0.07279083358159871
XY ring,7,0.006,0.06719511123046114
XY ring,7,0.007,0.06334270494010946
XY ring,7,0.008,0.06378004659110187
XY ring,7,0.009,0.05975789877159901
XY ring,7,0.01,0.05718394236461314
XY ring parity,1,0.0,0.6805442007127046
XY ring parity,1,0.001,0.4615275089130823
XY ring parity,1,0.002,0.31715288183593054
XY ring parity,1,0.003,0.23472557208200132
XY ring parity,1,0.004,0.17776536641178617
XY ring parity,1,0.005,0.14235425177162453
XY ring parity,1,0.006,0.12139834220325538
XY ring parity,1,0.007,0.09863586120259717
XY ring parity,1,0.008,0.08933258470232171
XY ring parity,1,0.009,0.0852599147182082
XY ring parity,1,0.01,0.0747154799545573
XY ring parity,2,0.0,0.7871407693334926
XY ring parity,2,0.001,0.4663236677518212
XY ring parity,2,0.002,0.3058621033298368
XY ring parity,2,0.003,0.20490805033339238
XY ring parity,2,0.004,0.15645804205517394
XY ring parity,2,0.005,0.12502294201547753
XY ring parity,2,0.006,0.09751649781244494
XY ring parity,2,0.007,0.09471953126198698
XY ring parity,2,0.008,0.08092749279865466
XY ring parity,2,0.009,0.07160205129958445
XY ring parity,2,0.01,0.06910728547429856
XY ring parity,3,0.0,0.8531860673709406
XY ring parity,3,0.001,0.44305935721124495
XY ring parity,3,0.002,0.25866004526383013
XY ring parity,3,0.003,0.17458779613013614
XY ring parity,3,0.004,0.12669024719530947
XY ring parity,3,0.005,0.10649163614258741
XY ring parity,3,0.006,0.09078614103208398
XY ring parity,3,0.007,0.0793308077910527
XY ring parity,3,0.008,0.07402956731331634
XY ring parity,3,0.009,0.06641763782917694
XY ring parity,3,0.01,0.06262243713560882
XY ring parity,4,0.0,0.8737559651185289
XY ring parity,4,0.001,0.4218740725642449
XY ring parity,4,0.002,0.23077352525925132
XY ring parity,4,0.003,0.14955807916115932
XY ring parity,4,0.004,0.11142266989369076
XY ring parity,4,0.005,0.09466309510917274
XY ring parity,4,0.006,0.0786312497288936
XY ring parity,4,0.007,0.07125708326331183
XY ring parity,4,0.008,0.06766933346902107
XY ring parity,4,0.009,0.06513154761106825
XY ring parity,4,0.01,0.06096135066045913
XY ring parity,5,0.0,0.8898558505085619
XY ring parity,5,0.001,0.3808766961851012
XY ring parity,5,0.002,0.19666780805848125
XY ring parity,5,0.003,0.13174632940227077
XY ring parity,5,0.004,0.09889946815445184
XY ring parity,5,0.005,0.08503433071905445
XY ring parity,5,0.006,0.07711481573938608
XY ring parity,5,0.007,0.06844460215305812
XY ring parity,5,0.008,0.06852215747479035
XY ring parity,5,0.009,0.061844389582315314
XY ring parity,5,0.01,0.06047315117217746
XY ring parity,6,0.0,0.8974661140579064
XY ring parity,6,0.001,0.3446299519210418
XY ring parity,6,0.002,0.18266943338904323
XY ring parity,6,0.003,0.12056961546373182
XY ring parity,6,0.004,0.09047324932571682
XY ring parity,6,0.005,0.0761448168581931
XY ring parity,6,0.006,0.06773663214307643
XY ring parity,6,0.007,0.06877618832413078
XY ring parity,6,0.008,0.06132962351016746
XY ring parity,6,0.009,0.060248463249821776
XY ring parity,6,0.01,0.06011928642145257
XY ring parity,7,0.0,0.9009989273262167
XY ring parity,7,0.001,0.3135173237253109
XY ring parity,7,0.002,0.170664629839218
XY ring parity,7,0.003,0.11277315663485339
XY ring parity,7,0.004,0.08742548520669581
XY ring parity,7,0.005,0.07667752865038022
XY ring parity,7,0.006,0.07051665541235552
XY ring parity,7,0.007,0.06483809743568096
XY ring parity,7,0.008,0.06175626063105681
XY ring parity,7,0.009,0.06419908716363755
XY ring parity,7,0.01,0.05820853429528527
XY full,1,0.0,0.7643270578702632
XY full,1,0.001,0.49766288598693204
XY full,1,0.002,0.3466602167385853
XY full,1,0.003,0.23603396111840153
XY full,1,0.004,0.18035401393276687
XY full,1,0.005,0.14233455219112975
